case,generation,criterion_id,title,requirement,path,review_index,primary_support_failure,manual_reason
candidate_user_da-10-1_r3,2,elicited_2ec6f7b1d0d03ef8,Consistency Between Reported Results and Supporting Evidence,"When quantitative findings are claimed, the reported values and conclusions must agree with the submitted executable code, intermediate outputs, and other public supporting evidence.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,0,both_fail,Shared false fold-ratio-sums-to-one claim survives the E7 numeric repair.
candidate_user_da-12-2_r1,7,elicited_2941f46a33ec7a60,Traceable universe provenance,"When an ORA result depends on a declared gene universe, the universe must be directly supported by the supplied data or explicitly documented external evidence, with its construction and provenance inspectable; an arbitrary or undocumented universe must not drive the reported inference.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0007,1,mixed_citations,Universe repair contrasts are mixed with citations that do not strictly separate.
candidate_user_da-12-2_r2,4,elicited_38b1f77357f9f81d,Observable-background consistency in contingency tables,"When performing ORA against a stated detectable-gene background, pathway membership used in the contingency table must be restricted to genes present in that background; genes outside the universe must not inflate pathway counts or alter the nonmembership cell.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004,2,reversed_pair,Saved quality preference favors the full-200/7005 table while its prose describes the observable-background artifact as better; application C/A follows actual content.
candidate_user_da-12-2_r3,2,elicited_aca261da7730f858,Execution Evidence Matches Reported Results,"When claiming that computations or generated results were executed, the submitted material must provide inspectable computational evidence corresponding to the reported results, rather than code that is merely plausible, planned, or inconsistent with the outputs.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,3,poor_scope,Both artifacts pass; switching lgamma to scipy does not demonstrate an execution-evidence failure.
candidate_user_da-12-4_r2,2,elicited_e9e609402368c5d5,Executable trace consistency,"When claiming that an analysis is reproducible, the submitted code must use defined objects and column names that correspond to the documented data transformations and reported output schema.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,4,application_error,"Preferred code already unpacks _,_,info=fun([b]); validation incorrectly treats info as the complete tuple. Rejected code has undefined m/d."
candidate_user_da-12-4_r3,2,elicited_2cc620f62c0312b3,Inspectably supported computational claims,"Claims about completed analyses and generated results must be supported by submitted, reproducible evidence sufficient to inspect the relevant computation and outputs.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,5,poor_scope,A repair adds concrete code but broad inspectability yields A/A; another citation shares missing-output problems.
candidate_user_da-13-6_r3,2,elicited_bef5fabe3be75c7d,Internal consistency of reported quantitative results,"When presenting computed counts or percentages, the submission must use consistent definitions and report the same results across code, intermediate summaries, trace, and final answer.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,6,other,Cohort and overlap definitions change together; saved B/A does not uniquely identify a factual rather than scope disagreement.
candidate_user_da-14-1_r2,7,elicited_5f4e244318245dd6,Primary-estimand versus sensitivity-result consistency,"When the task design distinguishes a required primary score subset from a broader sensitivity analysis, the submission must clearly identify the primary estimand and ensure that the final reported memberships, cluster counts, and quantitative summaries correspond to that subset rather than substituting or conflating sensitivity results.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0007,7,mixed_citations,One supported scope pair and two A/A pairs are cited together.
candidate_user_da-14-8_r2,10,elicited_e1448a49435e161b,Do not overclaim an unidentified required subset,"When the requested gene subset is not identifiable from the supplied data, distinguish any available-column audit from the requested analysis and withhold definitive conclusions about the unspecified subset.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-14-8/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0010,8,poor_scope,Both scope alternatives disclose missing membership; A/A does not isolate the later score-choice issue.
candidate_user_da-15-1_r2,2,elicited_cceb4165b8c0dd38,Pipeline-to-result consistency,"The reported sample counts, filtering totals, model design, covariates, rankings, and statistical results must remain mutually consistent with the documented analysis pipeline.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,9,poor_scope,Pipeline-internal-consistency A/A cannot explain different method/input-quality preferences.
candidate_user_da-15-2_r1,2,elicited_624c659be032fee1,Evidence-grounded claims of completed computation,"When claiming that an analysis ran or that its outputs were generated, provide direct inspectable output evidence that is consistent with the submitted executable code and execution status; do not present planned, failed, or historical results as outputs of the claimed run.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-2/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,10,mixed_citations,One A/B and one B/A compare execution honesty and task completion differently.
candidate_user_da-15-7_r1,2,elicited_5a833c7888c19182,Execution-Evidence Alignment,"When claiming that an analysis, computation, or generated result was completed, the artifact must provide directly inspectable evidence supporting that claim, or clearly qualify the result as unexecuted or unverifiable.",/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-15-7/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,11,poor_scope,Broad execution evidence combines shared omitted output and method-completeness tradeoffs; B/B and C/B.
