assignment_id,task_id,replicate,condition_id,arm,generation,criterion_id,pair_id,preferred_level,rejected_level,independent_relation,predicted_levels,semantic,required_applications,quoted_application_spans,accepted,rejection_reason,ineligibility,application_source_errors,path
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,elicited_fe64e5ac63cc1cb8,pair_d163c991f9198322,A,C,A/C,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The criterion is decidable from the submitted analysis and public patient/sample identifiers. It adds the specific coverage condition that repeated samples require identifying the analysis unit and matching patient-level claims to patient-level or cluster-aware methods, or explicitly limiting sample-level inference and stating dependence. The base rubric requires sample-level counts and testing but does not specify this inference-alignment safeguard.""}",5,19,True,accepted,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/criterion-validation.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,elicited_26536e314f2a3afc,pair_6f60bfbec1ce1a98,A,C,A/C,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The public artifact can be checked for unsupported causal or individual treatment-selection claims. Existing rules require biological interpretation and scope alignment but do not require distinguishing association from causation or state that results cannot direct treatment; this adds that specific evidentiary-limit condition.""}",8,16,True,accepted,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criterion-validation.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,elicited_475fc8656ed3283f,pair_8b20053825f51a9a,A,B,A/B,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""Canonical submitted materials can show whether treatment exposure and metastatic status are documented, and the check is conditional on making a post-therapy cohort claim. It adds the distinct condition that metastatic status must not be treated as proof of treatment exposure and that unverified treatment sequence be propagated into conclusions; existing cohort-selection and interpretation rules do not explicitly require this proxy limitation.""}",9,34,True,accepted,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criterion-validation.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,6,elicited_59ea7f9f479af5f7,pair_74a699d5082e7d61,A,A,A/A,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The submitted-public-material contract can support checking executable code, supplied inputs, displayed tables, and reported statistics for consistency using a stated rounding tolerance; this does not require hidden execution or private information. It adds a distinct numerical reproducibility condition not covered by the existing unit-of-analysis, causal-interpretation, or treatment-exposure rules.""}",10,22,False,criterion_support_failed,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,elicited_c93f783583b950c5,pair_709526c572e8b7ae,A,C,A/C,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The check is decidable from submitted public code, labels, scores, and reported values, and is conditional on making an AP claim. It adds distinct coverage for independently computing and tracing average precision; the base rubric evaluates AUROC but does not address AP or detect copying AP from AUROC.""}",5,14,True,accepted,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0002/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,elicited_5094f30a3495df0a,pair_4267ae532527d5ad,B,B,B/B,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""Publicly submitted counts, exclusions, labels, and metric populations can be checked arithmetically without hidden execution. The base rubric requires group counts, overlap checks, and documented missing-score handling, but does not require reconciliation of every downstream metric population to the same aligned records; this adds that specific linkage and count-consistency check.""}",5,15,False,criterion_support_failed,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0002/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,3,elicited_cbecc1e5528bb10b,pair_4267ae532527d5ad,B,B,B/B,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The condition is decidable from submitted trace/results: it requires explicit labels, filters, pre/post-filter counts, and reconciliation with reported metric populations. This adds a specific population-linkage audit not entailed by the broader AUC/NaN requirements or the separate AP-computation rule.""}",7,22,False,criterion_support_failed,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0003/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,4,elicited_0ef13aae0903a5fa,pair_e00902291ff9c1b7,C,C,C/C,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""Public trace code and reported results can show how supplied IDR intervals are counted and propagated. Base Criterion 6 requires valid extraction and pooled frequencies but does not specify preventing arbitrary interval duplication or justify weighting, so this adds a distinct, precise coverage condition.""}",8,16,False,criterion_support_failed,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0004/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,4,elicited_cbecc1e5528bb10b,pair_4267ae532527d5ad,B,B,B/B,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The condition is decidable from submitted trace/results: it requires explicit labels, filters, pre/post-filter counts, and reconciliation with reported metric populations. This adds a specific population-linkage audit not entailed by the broader AUC/NaN requirements or the separate AP-computation rule.""}",8,25,False,criterion_support_failed,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0004/criterion-validation.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,5,elicited_ef2b08e8b0289c87,pair_878a4bcaa86a3fa9,A,C,A/C,,"{""nonredundant"": true, ""observable"": true, ""reason"": ""The condition is decidable from public tables, summaries, duplicated locations, and submitted code/results without relying on hidden execution or intent. It adds specific coverage beyond the base AUC and interpretation requirements: cross-checking comparative rankings against metric values/calculations and requiring discrepancies to be corrected or explicitly qualified.""}",9,23,True,accepted,[],0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0005/criterion-validation.json
