policy,setting,task_id,replicate,generation,criterion_id,title,requirement,accepted,rejection_reason,replaces,citations,supported,tied,reversed,observed_support_pattern,path
candidate,full,da-10-1,1,2,elicited_a3dea03c8f7687b0,Consistency between reported results and supporting computation,"When the submission reports computed quantitative results, its tables and narrative must agree with the submitted executable code and other public supporting evidence; discrepancies must not materially alter the stated comparison or interpretation.",True,accepted,[],1,1,0,0,all_supported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/rubric-generations/generation-0002
candidate,full,da-10-1,1,4,elicited_933e66e75d27d5b8,Resolution of quantitative discrepancies before interpretation,"When a submission reports computed quantitative results, its interpretive narrative and summaries must resolve any discrepancy with the submitted computation or supporting tables before relying on the result; merely acknowledging a contradiction while retaining the conflicting interpretation is insufficient.",False,semantic_validation_failed,"[""elicited_a3dea03c8f7687b0""]",1,1,0,0,all_supported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/rubric-generations/generation-0004
candidate,full,da-10-1,2,2,elicited_053f47b82119d196,Consistency of the human-analysis population,"When reporting human-proteome composition, fold changes, or predictor results, use one explicitly defined human subset consistently across all such analyses, and reconcile any human-labelled rows excluded by the organism filter or other population rule.",True,accepted,[],1,1,0,0,all_supported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/rubric-generations/generation-0002
candidate,full,da-10-1,3,3,elicited_7a2519353c1cbc96,Direct support for claimed computed results,"Quantitative results claimed as completed analyses must be directly inspectable in the submitted material and consistent with the accompanying computation; code alone, planned calculations, or unreported objects must not serve as proof of the claimed output.",False,criterion_support_failed,[],3,1,1,1,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0003
candidate,full,da-10-1,3,4,elicited_1e6264cce928af5c,Evidence alignment and inspectable computational outputs,"For claimed computed results, the submission must distinguish executed, directly inspectable outputs from code-only procedures and ensure each quantitative or derived claim is supported by the corresponding computation and output.",False,criterion_support_failed,[],3,1,2,0,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0004
candidate,full,da-10-1,3,5,elicited_12305a92b720b225,Consistency Between Reported Results and Supporting Computation,"When the artifact reports quantitative results, its headline tables and prose must agree with the documented code and any displayed outputs; when multiple computational paths exist, it must clearly identify which path supports each claim and avoid attributing results to a loop that does not produce them.",False,criterion_support_failed,[],2,0,0,2,reversed_present_no_support,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0005
candidate,full,da-10-1,3,6,elicited_e6ce6d3b2fe5f09d,Consistency Between Claims and Supporting Evidence,"For every reported quantitative or methodological claim, the submitted material must align with the actual code, displayed output, and stated data processing; claims of completed analyses must have directly inspectable supporting evidence.",False,criterion_support_failed,[],5,1,2,2,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0006
candidate,full,da-10-1,3,7,elicited_843cbf6cfd2a1a32,Claim-to-computation and output consistency,"For every reported numerical result or claimed completed analysis, the submission must align the claim with the exact computation and provide directly inspectable supporting output; results must not be asserted from code that computes a different task, from unshown execution, or from inconsistent values elsewhere in the submission.",False,criterion_support_failed,[],4,1,2,1,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0007
candidate,full,da-10-1,3,7,elicited_1289d36c4aa631d4,Alignment of composition estimands with reported interpretation,"When using more than one composition estimand, the submission must identify whether each statistic is a per-protein composition summary or a pooled-residue frequency and must interpret and compare the statistic according to that definition.",False,criterion_support_failed,[],2,0,2,0,ties_only,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0007
candidate,full,da-10-1,3,8,elicited_53e19a28e9770091,Inspectable support for reported computations,"When claiming completed calculations or generated quantitative results, provide directly inspectable outputs or artifacts that allow the result to be verified, rather than only executable code or a statement that code would print it.",False,criterion_support_failed,[],3,0,3,0,ties_only,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0008
candidate,full,da-10-1,3,8,elicited_275556b78b6ca8d7,Composition estimand is explicitly identified,"When reporting amino-acid composition statistics, identify whether values represent per-protein composition summaries or pooled-residue frequencies, and do not present one estimand as the other.",False,criterion_support_failed,[],2,0,2,0,ties_only,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0008
candidate,full,da-10-1,3,8,elicited_92b69cb9b44c29fe,Numerical claims remain internally consistent,"Ensure that repeated or summarized numerical results agree with the supporting tables, code, and other public statements in the submission.",False,criterion_support_failed,[],3,2,0,1,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0008
candidate,full,da-10-3,1,2,elicited_880405fe065d120f,Claim-to-computation consistency,"When reporting quantitative evaluation results, the submitted material must provide directly inspectable evidence that the reported values were produced by an executed analysis using the same label definitions, comparison sets, filters, and transformations described in the method; results from a materially different or unreconciled computation must not be presented as the requested findings.",False,criterion_support_failed,[],1,0,0,1,reversed_present_no_support,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace/rubric-generations/generation-0002
candidate,full,da-10-3,1,3,elicited_ad89a429648063f0,Claim-to-computation consistency,"For any claimed computed result, the report must keep the stated method, displayed code, execution evidence, and interpretation consistent; material discrepancies must be disclosed and the unsupported result withdrawn rather than presented as the task answer.",False,criterion_support_failed,[],2,1,1,0,mixed_supported_unsupported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace/rubric-generations/generation-0003
candidate,full,da-10-3,1,4,elicited_465358c723d9e52c,Consistency between reported method and executed computation,"When the analysis claims to use a particular labeling or background-set design, the submitted method description, code, and reported results must agree, or any material deviation must be explicitly disclosed so readers can correctly interpret the findings.",True,accepted,[],1,1,0,0,all_supported,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace/rubric-generations/generation-0004
candidate,full,da-10-3,2,3,elicited_6a2b1895d307c8c0,Directly Inspectable Result Evidence,"For every claimed dataset–predictor performance result, provide a directly inspectable result table or equivalent included output showing the dataset, predictor, final positive and negative counts, and AUC; do not rely solely on code, prose summaries, or references to an unseen CSV.",False,criterion_support_failed,[],2,0,1,1,reversed_present_no_support,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-002/luna/full-red-team-trace/rubric-generations/generation-0003
