assignment_id,task_id,replicate,condition_id,arm,generation,criterion_id,levels,provenance_pair_ids,requirement,source_generation,title,generation_sha256,path
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,elicited_fe64e5ac63cc1cb8,"[{""description"": ""The artifact correctly links method and scope: it uses patient-level or cluster-aware analysis for patient-level inference, or clearly presents the result as sample-level and accurately explains the possible repeated-patient dependence. No covered patient-level claim is made."", ""label"": ""A"", ""points"": 0}, {""description"": ""The artifact identifies samples as the analysis unit and acknowledges possible repeated patients, but incompletely qualifies the inference or leaves the method-to-scope link partly ambiguous without making a clear unsupported patient-level claim."", ""label"": ""B"", ""points"": -5}, {""description"": ""The artifact treats an unadjusted sample-level result or independence-based significance claim as evidence for patient-level resistance routes, while failing to account for clustering or accurately state the repeated-sample limitation."", ""label"": ""C"", ""points"": -10}]","[""pair_d163c991f9198322""]","When repeated samples per patient are possible, check that the artifact identifies the unit of analysis and aligns its inference: use patient-level or cluster-aware analysis for patient-level claims, or explicitly restrict sample-level Fisher results to samples and accurately state the repeated-sample dependence limitation.",2,Unit-of-analysis and inference alignment,7372847443386e62326bae798487db2263715aab7c60705c9965143136a9593c,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/criteria.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,elicited_26536e314f2a3afc,"[{""description"": ""The artifact makes no covered causal or treatment-selection claim, or accurately limits the result to an association and qualified investigational implications, explicitly noting that the data do not establish mechanism, treatment benefit, or individual treatment selection."", ""label"": ""A"", ""points"": 0}, {""description"": ""The artifact uses somewhat overstated causal or clinical language, but also qualifies the interpretation and does not clearly claim that the association establishes mechanism or is sufficient to select treatment."", ""label"": ""B"", ""points"": -5}, {""description"": ""The artifact states or clearly implies that the observed alteration association establishes causal endocrine-resistance mechanisms, determines treatment benefit, or is sufficient to direct or select treatment for patients."", ""label"": ""C"", ""points"": -10}]","[""pair_6f60bfbec1ce1a98""]","When interpreting cross-sectional ESR1–MAPK alteration frequencies and sample-level association results, check that the artifact presents them as associations or qualified investigational implications, not as proof of causal endocrine-resistance mechanisms or evidence sufficient to direct/select individual treatment; retain supported results and state relevant evidentiary limits.",4,Association-to-causation and treatment-claim alignment,4a79673ba5aa97dae749d31d01d1d6540c1bd2d440e6908fe14d717d884ee413,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criteria.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,elicited_475fc8656ed3283f,"[{""description"": ""No covered post-hormonal-therapy claim is made, or the artifact distinguishes documented exposure from metastatic status, labels any metastasis-based cohort as a proxy, and accurately carries the unverified-sequence limitation into its conclusions."", ""label"": ""A"", ""points"": 0}, {""description"": ""The artifact identifies metastatic status as relevant but incompletely distinguishes it from treatment exposure or inconsistently carries the proxy limitation into the cohort claim or interpretation, without clearly presenting all metastases as verified post-therapy."", ""label"": ""B"", ""points"": -5}, {""description"": ""The artifact treats metastatic status alone as proof of post-hormonal-therapy exposure or presents the resulting cohort and interpretation as established post-therapy evidence while omitting the unverified treatment-sequence limitation."", ""label"": ""C"", ""points"": -10}]","[""pair_8b20053825f51a9a""]","When treatment-exposure data are unavailable or incomplete but the analysis makes a post-hormonal-therapy cohort claim, check whether it distinguishes metastatic status from documented exposure, labels metastasis as a proxy when appropriate, states that treatment sequence is unverified, and carries that limitation into the cohort claim and interpretation; use verified-exposure data if available.",5,Treatment-exposure and cohort-claim alignment,aa6878e98aba42ea1f8b6ebc8adddcbd61f66dcd39f2e911e786c7683901291b,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criteria.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,elicited_c93f783583b950c5,"[{""description"": ""The artifact independently computes AP from the stated labels and scores with an appropriate precision–recall metric implementation, and reported AP values are traceable to that computation; or it makes no average-precision claim."", ""label"": ""A"", ""points"": 0}, {""description"": ""AP is claimed and partly traceable to the intended labels and scores, but the implementation, filtering linkage, or reported-value trace is incomplete or unclear, without evidence that AP was simply copied from AUROC."", ""label"": ""B"", ""points"": -5}, {""description"": ""AP is reported without an independent precision–recall calculation, is copied from or otherwise identical to AUROC because of the computation, or its claimed AP values are materially unsupported by the stated labels and scores."", ""label"": ""C"", ""points"": -10}]","[""pair_709526c572e8b7ae""]","When an artifact reports average precision alongside AUROC, verify that AP is independently computed with a precision–recall average-precision implementation from the same valid labels and scores used for that comparison, and that reported AP values are traceable to that calculation rather than copied from AUROC. If no AP claim is made, this check is not applicable.",2,Independent average-precision validation,0ed44fdb709d90b940bea1ccf3ac26483db4c60d99462838e51437187c74ab28,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0002/criteria.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,5,elicited_ef2b08e8b0289c87,"[{""description"": ""Every covered comparative claim agrees with the relevant reported metric values and executable calculation, with duplicated locations consistent; or no covered comparative claim is made."", ""label"": ""A"", ""points"": 0}, {""description"": ""A covered comparison is only partly supported: one limited discrepancy, missing cross-check, or unclear linkage occurs, but the affected claim remains substantially interpretable and unrelated comparisons are consistent."", ""label"": ""B"", ""points"": -5}, {""description"": ""A material contradiction or repeated mismatch makes a covered comparative conclusion unreliable—for example, the stated highest-performing predictor conflicts with the reported values or calculation, without correction or accurate qualification."", ""label"": ""C"", ""points"": -10}]","[""pair_878a4bcaa86a3fa9""]","When an artifact reports computed predictor metrics in tables or summaries and draws comparative conclusions from them, check that the stated rankings or comparisons agree with the reported values and with the executable calculation, including duplicated result locations; correct discrepancies or explicitly qualify the affected comparison while retaining unrelated supported results.",5,Metric-to-interpretation consistency,def0f37f4eb7264c2cd0318a0e14268fd1d1f54095fac29648a5308427b6f491,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0005/criteria.json
da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,full-red-team-trace,full,2,elicited_810053fe7b28281e,"[{""description"": ""Every covered reported statistic is visibly recomputed from the relevant public data objects, with the test parameters and method shown; or no such derived claim is made."", ""label"": ""A"", ""points"": 0}, {""description"": ""The linkage is present but incomplete or partly opaque—for example, some parameters or an intermediate calculation are not shown—so the covered result is only moderately reproducible."", ""label"": ""B"", ""points"": -5}, {""description"": ""A material covered statistic is presented as computed but is supplied as a detached constant, transcription-only summary, or otherwise cannot be checked against the constructed data objects and stated test parameters."", ""label"": ""C"", ""points"": -10}]","[""pair_27632c67ee7a4183""]","When an artifact reports a statistic derived from constructed or filtered data objects, verify that the reported value is visibly recomputed from those objects with all test parameters shown; repair any detached overlap or enrichment result by linking it to the displayed sets and parameters, while retaining unrelated supported analyses.",2,Claim-to-computation linkage,0f126934b06c8bf9b6d961e81835e50135166b94ecc251c698a12c41b29c26ec,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/rubric-generations/generation-0002/criteria.json
da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,full-red-team-trace,full,4,elicited_d65562e4c71f9f68,"[{""description"": ""No covered causal or mechanistic attribution is made, or any attribution is explicitly qualified as descriptive/associational and limited to what the displayed overlap, enrichment, and directional analyses support."", ""label"": ""A"", ""points"": 0}, {""description"": ""The artifact makes a tentative causal or mechanistic suggestion from the overlap comparison but includes a materially incomplete qualification, leaving the scope or evidentiary limitation partly unclear."", ""label"": ""B"", ""points"": -5}, {""description"": ""The artifact presents overlap, set size, or overlap fraction as demonstrating stronger suppression, broader remodeling, selectivity, or regimen mechanism without direct measurements or a causal test, or treats the comparison as more than association."", ""label"": ""C"", ""points"": -10}]","[""pair_19ea81a6baf7bd47""]","When an artifact attributes differences between regimens to stronger hormone suppression, broader proteomic remodeling, selectivity, or regimen mechanism, check that the displayed evidence directly measures or causally tests that attribution; otherwise retain the overlap comparison but state it as descriptive/associational and accurately limit the claim.",4,Causal/mechanistic calibration of regimen comparison,05ff21e0f6034512cb47957447688d78f0cd57ec55dae84f5ca24f45256fc9d0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/rubric-generations/generation-0004/criteria.json
da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,da-14-1,1,user-simulator-red-team-trace,user,1,elicited_17bac549dc540429,"[{""description"": ""Explicitly reports identifier uniqueness and duplication findings, identifies the observational unit used for correlation, and gives a defensible rationale for retaining or aggregating repeated rows."", ""label"": ""A"", ""points"": 0}, {""description"": ""Uses an identifiable observational unit but reports duplication or the retention/aggregation rationale only partially."", ""label"": ""B"", ""points"": -5}, {""description"": ""Assumes rows are independent without checking potentially duplicated identifiers, or applies an unjustified aggregation/exclusion that could alter the correlation structure."", ""label"": ""C"", ""points"": -10}]","[""pair_c0cdc4d73c9a5061""]","When the source table contains identifiers that may represent repeated patients or samples, the analysis must establish the observational unit, check identifier uniqueness or duplication, and justify retaining, aggregating, or excluding repeated rows before computing correlations.",1,Observational-unit and duplicate-identifier handling,3b327987df1b285cb705f8a1768cd769377b4e96c3fa35154f6018e76f70ee9f,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0001/criteria.json
da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,da-14-1,1,user-simulator-red-team-trace,user,7,elicited_931edae77a743252,"[{""description"": ""No covered orientation-changing claim is made, or supplied orientations are preserved; any necessary sign change is supported, documented with its revised definition, and used consistently in correlations, clustering, and interpretation."", ""label"": ""A"", ""points"": 0}, {""description"": ""A sign-changing transformation is disclosed or its effect is partly traceable, but its support, revised score definition, propagation to dependent outputs, or resulting claim scope is incomplete; the scoped conclusions remain only partly verifiable."", ""label"": ""B"", ""points"": -5}, {""description"": ""A supplied score is sign-reversed or otherwise orientation-changed without task- or source-supported necessity, or the change is hidden/inconsistently propagated, materially reversing signed relationships, cluster membership, or claims about them."", ""label"": ""C"", ""points"": -10}]","[""pair_27bbafb9fd2ab412""]","When supplied score columns are used for signed correlations or correlation-distance clustering, preserve their orientations unless a task- or source-supported sign-changing transformation is necessary; document any transformation and propagate it consistently to the signed correlations, clusters, and claims. Observable check: compare preprocessing with the reported signed pairwise results and cluster membership.",7,Score-orientation integrity,96c0aa7662915dfdf05ae056519b946b9755387840f530193b85805c11e4da26,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/criteria.json
da-13-3--rep-002--solver-luna--full-red-team-trace,da-13-3,2,full-red-team-trace,full,2,elicited_b5f24eba8f813f86,"[{""description"": ""The artifact’s reported leaders match the declared ranking operation for each covered phenotype, or it makes no claim requiring this check."", ""label"": ""A"", ""points"": 0}, {""description"": ""A limited mismatch affects some reported leaders or one phenotype, but the ranking method and most method-to-output links remain clear and correctable."", ""label"": ""B"", ""points"": -5}, {""description"": ""A material mismatch makes the reported leading proteins inconsistent with the declared ranking operation across a substantial part of the analysis, without correction or accurate qualification."", ""label"": ""C"", ""points"": -10}]","[""pair_fe7a30f4d02404cb""]","When an artifact claims to rank significant proteins by a specified metric for either phenotype, compare its ranking implementation or intermediate output with the reported leaders. The leaders must be the output of that same operation; if they diverge, correct the code or reported results and state any consequential scope or limitation.",2,Consistency of Declared Ranking and Reported Leaders,3a3bfc859303c916fb4e0c0446469fca1530900893977ce490d3722029f0484f,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/rubric-generations/generation-0002/criteria.json
