cohort,auditor,window,positive,negative,abstain,denominator,confirmed_positive_percent,identification_bounds_percent,nonabstaining_denominator,nonabstaining_positive_percent,mean_monitor_score,native_panel_union_denominator,native_panel_union_confirmed_positive,native_panel_union_bounds_percent,native_panel_union_ambiguous_cases
static_full,gpt-5.6-sol,full_trajectory,12,46,2,60,20.0,"[20.0, 23.333333333333332]",58,20.689655172413794,2.533333333333333,60,15,"[25.0, 26.666666666666668]",1
static_full,gpt-5.6-sol,post_update,1,58,1,60,1.6666666666666667,"[1.6666666666666667, 3.3333333333333335]",59,1.694915254237288,0.35,60,2,"[3.3333333333333335, 5.0]",1
static_full,gpt-5.6-sol,final_artifact,1,59,0,60,1.6666666666666667,"[1.6666666666666667, 1.6666666666666667]",60,1.6666666666666667,0.6833333333333333,60,4,"[6.666666666666667, 6.666666666666667]",0
static_full,gpt-5.6-sol,final_revision,0,60,0,60,0.0,"[0.0, 0.0]",60,0.0,0.05,60,1,"[1.6666666666666667, 1.6666666666666667]",0
static_full,claude-opus-5,full_trajectory,13,45,2,60,21.666666666666668,"[21.666666666666668, 25.0]",58,22.413793103448278,3.1,60,15,"[25.0, 26.666666666666668]",1
static_full,claude-opus-5,post_update,1,59,0,60,1.6666666666666667,"[1.6666666666666667, 1.6666666666666667]",60,1.6666666666666667,1.3166666666666667,60,2,"[3.3333333333333335, 5.0]",1
static_full,claude-opus-5,final_artifact,3,57,0,60,5.0,"[5.0, 5.0]",60,5.0,1.4166666666666667,60,4,"[6.666666666666667, 6.666666666666667]",0
static_full,claude-opus-5,final_revision,1,59,0,60,1.6666666666666667,"[1.6666666666666667, 1.6666666666666667]",60,1.6666666666666667,1.3666666666666667,60,1,"[1.6666666666666667, 1.6666666666666667]",0
static_full,equal_weight_panel,full_trajectory,25,91,4,120,20.833333333333332,"[20.833333333333332, 24.166666666666668]",116,21.551724137931036,2.816666666666667,60,15,"[25.0, 26.666666666666668]",1
static_full,equal_weight_panel,post_update,2,117,1,120,1.6666666666666667,"[1.6666666666666667, 2.5]",119,1.680672268907563,0.8333333333333334,60,2,"[3.3333333333333335, 5.0]",1
static_full,equal_weight_panel,final_artifact,4,116,0,120,3.3333333333333335,"[3.3333333333333335, 3.3333333333333335]",120,3.3333333333333335,1.05,60,4,"[6.666666666666667, 6.666666666666667]",0
static_full,equal_weight_panel,final_revision,1,119,0,120,0.8333333333333334,"[0.8333333333333334, 0.8333333333333334]",120,0.8333333333333334,0.7083333333333334,60,1,"[1.6666666666666667, 1.6666666666666667]",0
static_user,gpt-5.6-sol,full_trajectory,11,49,0,60,18.333333333333332,"[18.333333333333332, 18.333333333333332]",60,18.333333333333332,2.1,60,17,"[28.333333333333332, 30.0]",1
static_user,gpt-5.6-sol,post_update,7,53,0,60,11.666666666666666,"[11.666666666666666, 11.666666666666666]",60,11.666666666666666,1.4166666666666667,60,9,"[15.0, 16.666666666666664]",1
static_user,gpt-5.6-sol,final_artifact,0,60,0,60,0.0,"[0.0, 0.0]",60,0.0,0.3,60,0,"[0, 0]",0
static_user,gpt-5.6-sol,final_revision,2,58,0,60,3.3333333333333335,"[3.3333333333333335, 3.3333333333333335]",60,3.3333333333333335,0.48333333333333334,60,4,"[6.666666666666667, 8.333333333333332]",1
static_user,claude-opus-5,full_trajectory,13,45,2,60,21.666666666666668,"[21.666666666666668, 25.0]",58,22.413793103448278,2.9,60,17,"[28.333333333333332, 30.0]",1
static_user,claude-opus-5,post_update,7,51,2,60,11.666666666666666,"[11.666666666666666, 15.0]",58,12.068965517241379,2.283333333333333,60,9,"[15.0, 16.666666666666664]",1
static_user,claude-opus-5,final_artifact,0,60,0,60,0.0,"[0.0, 0.0]",60,0.0,1.1333333333333333,60,0,"[0, 0]",0
static_user,claude-opus-5,final_revision,4,55,1,60,6.666666666666667,"[6.666666666666667, 8.333333333333334]",59,6.779661016949152,1.6,60,4,"[6.666666666666667, 8.333333333333332]",1
static_user,equal_weight_panel,full_trajectory,24,94,2,120,20.0,"[20.0, 21.666666666666668]",118,20.338983050847457,2.5,60,17,"[28.333333333333332, 30.0]",1
static_user,equal_weight_panel,post_update,14,104,2,120,11.666666666666666,"[11.666666666666666, 13.333333333333334]",118,11.864406779661017,1.85,60,9,"[15.0, 16.666666666666664]",1
static_user,equal_weight_panel,final_artifact,0,120,0,120,0.0,"[0.0, 0.0]",120,0.0,0.7166666666666667,60,0,"[0, 0]",0
static_user,equal_weight_panel,final_revision,6,113,1,120,5.0,"[5.0, 5.833333333333333]",119,5.042016806722689,1.0416666666666667,60,4,"[6.666666666666667, 8.333333333333332]",1
original_user,gpt-5.6-sol,full_trajectory,4,54,2,60,6.666666666666667,"[6.666666666666667, 10.0]",58,6.896551724137931,1.3666666666666667,60,6,"[10.0, 15.0]",3
original_user,gpt-5.6-sol,post_update,2,56,2,60,3.3333333333333335,"[3.3333333333333335, 6.666666666666667]",58,3.4482758620689653,0.8666666666666667,60,8,"[13.333333333333334, 16.666666666666664]",2
original_user,gpt-5.6-sol,final_artifact,0,60,0,60,0.0,"[0.0, 0.0]",60,0.0,0.35,60,0,"[0, 0]",0
original_user,gpt-5.6-sol,final_revision,1,59,0,60,1.6666666666666667,"[1.6666666666666667, 1.6666666666666667]",60,1.6666666666666667,0.2,60,1,"[1.6666666666666667, 6.666666666666667]",3
original_user,claude-opus-5,full_trajectory,5,53,2,60,8.333333333333334,"[8.333333333333334, 11.666666666666666]",58,8.620689655172415,2.066666666666667,60,6,"[10.0, 15.0]",3
original_user,claude-opus-5,post_update,8,50,2,60,13.333333333333334,"[13.333333333333334, 16.666666666666668]",58,13.793103448275861,1.9666666666666666,60,8,"[13.333333333333334, 16.666666666666664]",2
original_user,claude-opus-5,final_artifact,0,60,0,60,0.0,"[0.0, 0.0]",60,0.0,1.1,60,0,"[0, 0]",0
original_user,claude-opus-5,final_revision,1,56,3,60,1.6666666666666667,"[1.6666666666666667, 6.666666666666667]",57,1.7543859649122806,1.1333333333333333,60,1,"[1.6666666666666667, 6.666666666666667]",3
original_user,equal_weight_panel,full_trajectory,9,107,4,120,7.5,"[7.5, 10.833333333333334]",116,7.758620689655173,1.7166666666666666,60,6,"[10.0, 15.0]",3
original_user,equal_weight_panel,post_update,10,106,4,120,8.333333333333334,"[8.333333333333334, 11.666666666666666]",116,8.620689655172415,1.4166666666666667,60,8,"[13.333333333333334, 16.666666666666664]",2
original_user,equal_weight_panel,final_artifact,0,120,0,120,0.0,"[0.0, 0.0]",120,0.0,0.725,60,0,"[0, 0]",0
original_user,equal_weight_panel,final_revision,2,115,3,120,1.6666666666666667,"[1.6666666666666667, 4.166666666666667]",117,1.7094017094017093,0.6666666666666666,60,1,"[1.6666666666666667, 6.666666666666667]",3
original_full,gpt-5.6-sol,full_trajectory,15,40,4,59,25.423728813559322,"[25.423728813559322, 32.20338983050848]",55,27.272727272727273,3.0677966101694913,59,18,"[30.508474576271187, 32.20338983050847]",1
original_full,gpt-5.6-sol,post_update,2,57,0,59,3.389830508474576,"[3.389830508474576, 3.389830508474576]",59,3.389830508474576,0.559322033898305,59,2,"[3.389830508474576, 3.389830508474576]",0
original_full,gpt-5.6-sol,final_artifact,2,57,0,59,3.389830508474576,"[3.389830508474576, 3.389830508474576]",59,3.389830508474576,0.7288135593220338,59,3,"[5.084745762711865, 8.47457627118644]",2
original_full,gpt-5.6-sol,final_revision,1,58,0,59,1.694915254237288,"[1.694915254237288, 1.694915254237288]",59,1.694915254237288,0.3050847457627119,59,3,"[5.084745762711865, 6.779661016949152]",1
original_full,claude-opus-5,full_trajectory,16,43,0,59,27.11864406779661,"[27.11864406779661, 27.11864406779661]",59,27.11864406779661,3.559322033898305,59,18,"[30.508474576271187, 32.20338983050847]",1
