variant,task_id,replicate,retained_revisions,solver_prompt_receipts,stop_reason,online_proposals,online_admissions,first_online_admission_generation,first_recorded_online_delivery_turn,delivery_channel,reasons,state_path,state_sha256
v21,da-15-1,1,8,9,no_change,13,6,4,3,separate_reminder,"{""accepted"": 6, ""aggregate_margin_failed"": 2, ""criterion_support_failed"": 3, ""diagnosis:NO_SUPPORTED_RELATION"": 2, ""diagnosis:PREFERENCE_CONFLICT"": 3, ""semantic_validation_failed"": 2}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/state.json,4711968f82e150dd9013e241733537a512e78d80da25e16611968ad1185bcca9
v21,da-15-1,2,10,10,max_revisions,4,1,7,6,separate_reminder,"{""accepted"": 1, ""aggregate_margin_failed"": 3, ""diagnosis:NO_SUPPORTED_RELATION"": 7, ""diagnosis:PREFERENCE_CONFLICT"": 8}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/state.json,fff1d2617f4aba4f84c3bcaf6aa5c3e6823c629caf2561f294c0ed2b9a16ef0d
v21,da-15-1,3,10,10,max_revisions,11,4,2,1,separate_reminder,"{""accepted"": 4, ""aggregate_margin_failed"": 5, ""criterion_support_failed"": 1, ""diagnosis:NO_SUPPORTED_RELATION"": 2, ""diagnosis:PREFERENCE_CONFLICT"": 5, ""validation:candidate_ineligible"": 1}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/state.json,90e184ad2d276a9f180267e2b5ba6a75e07725998728045c84638cb93951eed8
v21,da-13-6,1,9,10,no_change,9,2,4,3,separate_reminder,"{""accepted"": 2, ""aggregate_margin_failed"": 2, ""criterion_support_failed"": 3, ""diagnosis:NO_SUPPORTED_RELATION"": 2, ""diagnosis:PREFERENCE_CONFLICT"": 9, ""semantic_validation_failed"": 2}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace/state.json,1b7fbf5c9812df96613ad0f83ac1ef9aa7f48186b17d0eec0f4be9a09b0ab8fe
v21,da-13-6,2,5,6,no_change,1,0,,,separate_reminder,"{""aggregate_margin_failed"": 1, ""diagnosis:NO_SUPPORTED_RELATION"": 3, ""diagnosis:PREFERENCE_CONFLICT"": 8}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace/state.json,e17aead94460fb3a1cba02b3a46aec7cb0210c662ae1987a013f1bccabd706ba
v21,da-13-6,3,10,10,max_revisions,8,4,5,4,separate_reminder,"{""accepted"": 4, ""aggregate_margin_failed"": 1, ""criterion_support_failed"": 1, ""diagnosis:NO_SUPPORTED_RELATION"": 3, ""diagnosis:PREFERENCE_CONFLICT"": 9, ""semantic_validation_failed"": 1, ""validation:candidate_ineligible"": 1}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-13-6/study/biomnibench-da-factorial-r10-0cc10d3cda04/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace/state.json,b7c842a513e965396a29f2e88944a65d6f3c01a78fdef5e0c9876298f3acecb9
v21,da-18-5,1,5,6,no_change,4,1,6,5,separate_reminder,"{""accepted"": 1, ""aggregate_margin_failed"": 3, ""diagnosis:PREFERENCE_CONFLICT"": 6}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/state.json,124a605c95bd6d7867dd63cc075c5fa19674a969b3f3b315ba06b1e952303309
v21,da-18-5,2,9,10,no_change,6,1,8,7,separate_reminder,"{""accepted"": 1, ""aggregate_margin_failed"": 1, ""criterion_support_failed"": 4, ""diagnosis:NO_SUPPORTED_RELATION"": 2, ""diagnosis:PREFERENCE_CONFLICT"": 6}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-002/luna/user-simulator-red-team-trace/state.json,92411cc88e66d66e96d833556537b27c3e757404364c81aec203665f42817170
v21,da-18-5,3,4,5,no_change,7,1,2,1,separate_reminder,"{""accepted"": 1, ""aggregate_margin_failed"": 3, ""criterion_support_failed"": 3, ""diagnosis:NO_SUPPORTED_RELATION"": 1}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-18-5/study/biomnibench-da-factorial-r10-a53feb36c969/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/state.json,0e913328409a8c42995d4491349a7ab482d82d57de3f0eb0fec09e885cb36ea2
v3,da-15-1,1,6,7,no_change,6,2,4,,tag_matched_simulator_concern,"{""accepted"": 2, ""diagnosis:NO_SUPPORTED_RELATION"": 7, ""diagnosis:PREFERENCE_CONFLICT"": 1, ""semantic_validation_failed"": 4}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/state.json,d1d67b369466094518e5009a87596fb5ae60485fa1a0b059a1ce8b479fc81c27
