variant,task_id,replicate,generation,criterion_id,accepted,reason,first_failed_margin,source
v21,da-15-1,1,2,elicited_19107330f45b9b30,False,aggregate_margin_failed,"{""current_margin"": -15, ""pair_id"": ""pair_d17961106b181f3d"", ""passed"": false, ""prospective_margin"": -20, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/aggregate-margins.json
v21,da-15-1,1,3,elicited_e869788f4c0b4bec,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/aggregate-margins.json
v21,da-15-1,1,3,elicited_1001472658220e69,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/aggregate-margins.json
v21,da-15-1,1,4,elicited_c277cec8f58c5b80,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-15-1,1,4,elicited_dec52d72e0d875d5,False,aggregate_margin_failed,"{""current_margin"": 5, ""pair_id"": ""pair_aad148dfa3021ccb"", ""passed"": false, ""prospective_margin"": -5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-15-1,1,5,elicited_c8bcd96bc3cda6ea,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-15-1,1,6,elicited_9ce76f6460417916,False,criterion_support_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-15-1,1,7,elicited_b120a1c89cd264f4,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v21,da-15-1,1,8,elicited_1b377d28059a961e,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-15-1,1,8,elicited_abcea113d1e5bd3d,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0008/aggregate-margins.json
v21,da-15-1,1,9,elicited_805d4de76baae9f4,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-15-1,1,9,elicited_6355a1466ce4c8ca,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-15-1,1,10,elicited_0762a463713a2b39,False,semantic_validation_failed,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/rubric-generations/generation-0010/aggregate-margins.json
v21,da-15-1,2,7,elicited_646590420448ece0,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v21,da-15-1,2,9,elicited_a9feb0c97936a89a,False,aggregate_margin_failed,"{""current_margin"": -10, ""pair_id"": ""pair_22e598ffcda52b67"", ""passed"": false, ""prospective_margin"": -15, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0009/aggregate-margins.json
v21,da-15-1,2,10,elicited_cbb3c8f5858e827f,False,aggregate_margin_failed,"{""current_margin"": 0, ""pair_id"": ""pair_74aea2795d459e59"", ""passed"": false, ""prospective_margin"": -5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0010/aggregate-margins.json
v21,da-15-1,2,11,elicited_cbb3c8f5858e827f,False,aggregate_margin_failed,"{""current_margin"": 0, ""pair_id"": ""pair_74aea2795d459e59"", ""passed"": false, ""prospective_margin"": -5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0011/aggregate-margins.json
v21,da-15-1,3,2,elicited_f14b983e65819c9d,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/aggregate-margins.json
v21,da-15-1,3,4,elicited_ac0e10b56960e8cc,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-15-1,3,4,elicited_155be7b8e814c262,False,aggregate_margin_failed,"{""current_margin"": 5, ""pair_id"": ""pair_aad148dfa3021ccb"", ""passed"": false, ""prospective_margin"": -5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/aggregate-margins.json
v21,da-15-1,3,5,elicited_d991ea48d4e26d31,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-15-1,3,5,elicited_cb78c352f41a906e,False,aggregate_margin_failed,"{""current_margin"": 0, ""pair_id"": ""pair_99807db007421e26"", ""passed"": false, ""prospective_margin"": -5, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/aggregate-margins.json
v21,da-15-1,3,6,elicited_97abd5f1e5d1089a,False,aggregate_margin_failed,"{""current_margin"": 18, ""pair_id"": ""pair_e21cb34e110ba473"", ""passed"": false, ""prospective_margin"": 8, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0006/aggregate-margins.json
v21,da-15-1,3,7,elicited_e12d3ee52d84fbdc,True,accepted,null,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
v21,da-15-1,3,7,elicited_d0f26b32bb81290d,False,aggregate_margin_failed,"{""current_margin"": 23, ""pair_id"": ""pair_ae5e42876d15643b"", ""passed"": false, ""prospective_margin"": 18, ""strict_improvement_required"": false, ""view"": ""active_rubric""}",/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v21-control/da-15-1/study/biomnibench-da-factorial-r10-9a077f8c8346/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/rubric-generations/generation-0007/aggregate-margins.json
