assignment_id,task_id,replicate,condition_id,arm,generation,source_checkpoint,offline,path,generation_sha256,proposed,admitted,decisions,active_criteria,quality_ordered_pairs,gap_pairs,logical_call_ceiling,call_budget,logical_requests,recorded_new_calls,recorded_cache_hits,quality_source_failure_pairs,quality_no_order_pairs,quality_unavailable_pairs,compilation_empty,compilation_unavailable,selected_pairs,diagnoses,supported_diagnoses,diagnosis_quote_failures,failure_records
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,1,,True,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0001,b57c95b18b86b14834e39e8b0b97eafd6c80f9250ded589fd4e1fa3e9d617322,2,0,"{""criterion_support_failed"": 2}",0,3,3,,72,,,,,,,,,,,,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,0,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002,d3ace78b4670cad3287d85eb8b9c4e62e6d0deb22933f91c9a9f6b7f140c3988,0,0,{},0,3,2,22,198,15,15,0,1,0,0,0,0,"[""pair_5fc84a2a7cdd69c8""]","{""supported_relation"": 1}",0,1,2
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,1,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003,3dec1cd1d28fc6b96e587e46909bbf3504b53e3fcf4f2417eedb2015fa6795a7,0,0,{},0,4,3,40,360,22,7,15,2,0,0,0,0,"[""pair_bf0bc469d5fde174"", ""pair_5fc84a2a7cdd69c8""]","{""supported_relation"": 2}",0,2,4
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,2,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004,91e6974b3f9eb3de13bf265474d3d896cad6657bc45bb486268fe55042068099,0,0,{},0,7,5,51,459,29,8,21,2,0,0,0,0,"[""pair_05b32feba70fa11a"", ""pair_bf0bc469d5fde174""]","{""supported_relation"": 2}",0,2,4
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,3,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005,d20f0d51dd24f1eb126237b6da44b44edbb54f805561ffad4315e2012d27fad4,0,0,{},0,8,5,56,504,32,3,29,2,0,0,0,0,"[""pair_bf0bc469d5fde174"", ""pair_05b32feba70fa11a""]","{""supported_relation"": 2}",0,2,4
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,6,4,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0006,33bd4f2742e48733f27b1f8957ea37ff8f807f88e2db47c0c5c8898a5f3e3a9d,0,0,{},0,9,6,61,549,35,4,31,2,0,0,0,0,"[""pair_3d32ea147f23a805"", ""pair_bf0bc469d5fde174""]","{""supported_relation"": 2}",0,2,4
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,1,,True,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0001,4b07a8ad37ab26fc123017699844537c92c845ad342d0960b797de2dcd4910e8,0,0,{},0,3,0,,72,,,,,,,,,,,,,
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,0,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0002,458a2a6a199b18b78dd1544cf3a045597570bb8171209939ae70239a0ce538ea,0,0,{},0,1,1,22,198,15,17,0,3,0,0,0,0,"[""pair_4267ae532527d5ad""]","{""supported_relation"": 1}",0,1,4
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,3,1,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0003,25cf278d779f32c76efec3957b2a7332297c053033d059fbdbe1c5da35a6f2bc,0,0,{},0,3,2,30,270,21,7,14,3,0,0,0,0,"[""pair_8f9fc7e770bdacd6""]","{""supported_relation"": 1}",0,1,4
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,4,2,False,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/rubric-generations/generation-0004,a39ffaebbb8d2bb3c5aaf0e776123737278b1d087417c448a6b56ad83aaca3a6,0,0,{},0,3,2,34,306,24,3,21,4,0,0,0,0,"[""pair_8f9fc7e770bdacd6""]","{""supported_relation"": 1}",0,1,5
