assignment_id,task_id,replicate,condition_id,arm,checkpoint,included,public_nonidentical,narration_available,narrated_status,quote_failures,actual_changed_files,exit_code,attempt_count,source_public_sha256,output_public_sha256,record_path,record_sha256
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,0,True,True,True,attack_created,"[""attack_quote: literal public quote not found""]","[""answer.txt"", ""trace.md""]",0,1,a0607634c74d648a9a48b93489981493fb9bb3e4e75342096502a8e58e7fe5fb,861e6c402072d1ce0c55f30688c4165b4f8a8cfb5212c9e8096ba4efad41ec93,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0000/attack-record.json,428c6ef7f9248b4420a5f9f527ad858a6a794077cd1c06e1802e69775a6a6426
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,1,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,0ec9bf93c3d0edba76fc236027a897a178167f0ef943aa47be4a34a467c299cd,9593550e6cb7e7aa4da79341fbbdb54064c2f649409976f388b65f0e2e740ad5,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0001/attack-record.json,351b4ed26f0793c9028bd1f03034bb2064ebaca78dd9bde217faf5de20d8eb3c
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,72a03e811962542a3bc98df0b462e6d824d4688c38fece29149639cb42b401e8,2f28e6e4f0a094ec75f8e41c93bc2297ccde3657f20d0908862f1f94435e618f,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0002/attack-record.json,9c60ea6189caa75ab8bc6f7cb606a2a75254a3ff5331e938b3560159d32dc828
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,72a03e811962542a3bc98df0b462e6d824d4688c38fece29149639cb42b401e8,77f1250eb756779187940051b06eff226d61a8e1aad7da5ed1d34a7ad2357e07,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0003/attack-record.json,46c67b5e77e4730b1aec4d3764fc90a202af51cccd51c5079c3440c0003a8077
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,72a03e811962542a3bc98df0b462e6d824d4688c38fece29149639cb42b401e8,2a93cb27e6c2c5b6f805406fa64e4710922ec6605cc8d828703af4288057c6cf,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0004/attack-record.json,793a86dbc30acdb0d3d2bd62c707e72de14b9bcaa606be100f3fede8f0a92eb9
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,0,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ab95a96976026f81879c2daefc04c8c451889351103622c3ba92cf6e149334f4,beb5536328b7db5885bc0afcce764e1946e9fda7961b8d37873b3abc1f293bd3,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0000/attack-record.json,b04697c4e77af08f2ca9a0991c824c9ecf31ebec025da27a00036b24d4c203fb
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,1,True,True,True,attack_created,"[""source_quote: literal public quote not found"", ""attack_quote: literal public quote not found""]","[""answer.txt"", ""trace.md""]",0,1,0e4d038756f92fcc15c058033bc83219a6e69cae3f1f03a80840b049744c8879,3930a418dc8ecaf447c3d170d8ce7bcbb5810d1663d107a7c3b07cdba09271b1,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0001/attack-record.json,e5ae2aa2233643ada3bccaf6fdea79d84a562e86e68c6d115c304bc55688fd9b
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,0e4d038756f92fcc15c058033bc83219a6e69cae3f1f03a80840b049744c8879,cdf71cf44b8758191405f3e467993e0fcbd51df52ac67e9dadd8b721d3341cdd,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0002/attack-record.json,f1f3c6e107c752fe583d8f7f0efbc9db448d9efeba9615224e01897363f7193f
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,3,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,0e4d038756f92fcc15c058033bc83219a6e69cae3f1f03a80840b049744c8879,f37b02af18dffdacd595023673e8007306a05bdb0685be553e65ee829473870f,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0003/attack-record.json,be4ffad2c41cf93c7af09edf7fef88a5eb960eb518fc8895fb2fbdf6672d42eb
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,4,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,0e4d038756f92fcc15c058033bc83219a6e69cae3f1f03a80840b049744c8879,962ddc3771fb91bb766d4b06bbddff26e1681a6044ae35b14130eede153c5ed7,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0004/attack-record.json,d1c1d076a0af72a7e7150db5dbf3c2a6fb5b0982069a7650f2d1bff4f8753012
da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,full-red-team-trace,full,0,True,True,True,attack_created,"[""source_quote: literal public quote not found""]","[""answer.txt"", ""trace.md""]",0,1,0328b72dd697f4ef19885e00edd5e8bae76fd84eb611d8a7fe65d80d0b942bf5,e0dd4c9074b311ee50041e471f1ee3e0583371478249132ee329ed78a59d553a,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-002/luna/full-red-team-trace/red-team/checkpoint-0000/attack-record.json,d0f2e50a11be6715b20f53fd9d633d7373e3245711fad463c32482a3efe1f52a
