setting,task_id,replicate,config_differences,offline_criteria_equal,offline_generation_hash_equal,first_feedback_equal,first_prompt_equal,initial_submission_equal,selected_rubric_equal
full,da-10-1,1,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-10-1,2,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-10-1,3,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-10-3,1,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,True,True,True,True
full,da-10-3,2,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-10-3,3,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-2,1,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-2,2,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-2,3,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-4,1,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-4,2,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-12-4,3,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-13-1,1,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-13-1,2,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
full,da-13-1,3,"{""rubric_generation_implementation_sha256"": {""original"": ""d0107bf0286231b7ec01127bae9843e0c7157af0801afa75783a1710641e4b0b"", ""candidate"": ""869833ac8edcc23e0f628d2b1bf0f6a26db7d60610469017df83e3baf7c917bb""}}",True,True,False,False,True,True
