case,source_path,source_sha256,normalized_prompt_sha256,normalized_file
candidate_full_da-10-1_r1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,0fa13c807c9c99bdd15ae6e2548083d89374f928d67cfb047f6f0cb32c8dca64,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-10-1_r2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,0fa13c807c9c99bdd15ae6e2548083d89374f928d67cfb047f6f0cb32c8dca64,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-10-1_r3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,0fa13c807c9c99bdd15ae6e2548083d89374f928d67cfb047f6f0cb32c8dca64,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-10-3_r1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,86bcdaeca84c844ba4b5b2daa87651bc52c20c6b2d2ba37d574d54200bedf3ff,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-10-3_r2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-002/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,86bcdaeca84c844ba4b5b2daa87651bc52c20c6b2d2ba37d574d54200bedf3ff,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-10-3_r3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,86bcdaeca84c844ba4b5b2daa87651bc52c20c6b2d2ba37d574d54200bedf3ff,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-12-2_r1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,931341279201f3a4620512ddc196e39177bdb2f0a11211b673563ef09c84c9be,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-12-2_r2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,931341279201f3a4620512ddc196e39177bdb2f0a11211b673563ef09c84c9be,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-12-2_r3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,931341279201f3a4620512ddc196e39177bdb2f0a11211b673563ef09c84c9be,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
candidate_full_da-12-4_r1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-001/luna/full-red-team-trace/red-team/checkpoint-0001/prompt.txt,6ddfb31a64762dbd100948fc53697d0fc01f947166232c1d77a5b9f78b5f08be,7bad5305f4bbb7cf5858660e670216b2f0bd72b2e98add5a94e1b1e9d914e433,prompts/candidate-7bad5305f4bb.txt
