arm,task_id,replicate,selection_reasons,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,packet_path,packet_sha256,packet_bytes
full,da-10-3,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,9.0,-9.999999999999993,1.5,-9.0,-1.5,18.999999999999993,-11.499999999999993,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-10-3--rep-001.json,7a0df0f19cc03cb3de7f1413f4e5e00a45341d5d1c5d0923c3067783a00530ba,123641
full,da-10-3,2,"[""narrower_gap_with_delta_A_at_most_minus_5"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,12.0,1.5,-6.5,-12.0,6.5,10.5,8.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-10-3--rep-002.json,4445443aea4d9a8e70955111992c8d2fb06127dd50922d995b50fac55bf8e808,138706
full,da-10-3,3,"[""narrower_gap_with_delta_A_at_most_minus_5"", ""top_three_task_contributors_W_minus_S""]",0.0,0.0,2.0,12.0,-11.0,-2.0,11.0,-10.0,23.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-10-3--rep-003.json,99b0af74d9107aa3cc3517d249a39517192283c659af1ba11144d415a38d8da3,113796
full,da-12-4,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,11.5,7.999999999999993,15.0,-11.5,-15.0,3.500000000000007,-7.000000000000007,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-12-4--rep-001.json,df503a9f1b0500f5545b4b110cf884c2b361e03d692d402837acaa7609f0aa9e,100426
full,da-12-4,2,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,21.0,28.5,35.0,-21.0,-35.0,-7.5,-6.5,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-12-4--rep-002.json,79051e37a3791639eef09241a796bc2cff6044f0863c012ae94c45ab5dc5f4af,111461
full,da-12-4,3,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,-6.0,3.6666666666666714,-13.0,6.0,13.0,-9.666666666666671,16.66666666666667,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-12-4--rep-003.json,bfdb06d5fc4b8e4d0ea90896dc50325187cc153fe94110bdfe178e3d2deb80fd,121707
full,da-15-1,1,"[""top_three_task_contributors_W_minus_A""]",-23.0,-23.0,-8.0,0.6666666666666714,32.0,-15.0,-55.0,-8.666666666666671,-31.33333333333333,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-1--rep-001.json,191984f3376f42a506e92da4614da3190f4340a10bf12eeccc58fdf60f9aa959,132835
full,da-15-1,2,"[""top_three_task_contributors_W_minus_A""]",-23.0,-23.0,-20.5,-15.166666666666671,11.0,-2.5,-34.0,-5.333333333333329,-26.16666666666667,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-1--rep-002.json,868df3d3e61ad129631a13da3eb7ba8f3103ce014ea5a49d6bd2f5be6d4605e1,176610
full,da-15-1,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,-0.8333333333333286,1.5,0.0,-1.5,0.8333333333333286,-2.3333333333333286,-100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-1--rep-003.json,7d9f6d60c3b9fe491b9d7d1597f7c4ea853bd9d4aa71f4ab8827191db929019a,109178
full,da-15-2,1,"[""top_three_task_contributors_W_minus_A""]",-27.0,-27.0,-3.0,21.833333333333332,9.5,-24.0,-36.5,-24.833333333333332,12.333333333333332,-100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-2--rep-001.json,5ec3c7c0bb25148c9eca063de752f44d5f088e40762e79b24d80ddebadd0ef83,143972
full,da-15-2,2,"[""top_three_task_contributors_W_minus_A""]",-10.0,-10.0,-7.0,-2.0,15.0,-3.0,-25.0,-5.0,-17.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-2--rep-002.json,3067d09f74217ebf57f6efa072c5d07d9b2cc09fb14b70cea05b8fc9bfc40e02,182087
full,da-15-2,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,-8.0,-10.333333333333332,-18.5,8.0,18.5,2.333333333333332,8.166666666666668,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-15-2--rep-003.json,30024448921b5b45f6e932b154dece3443be1713adcb8613ba9da1fd7a008d91,169395
full,da-16-1,1,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,12.0,7.166666666666664,11.0,-12.0,-11.0,4.833333333333336,-3.8333333333333357,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-16-1--rep-001.json,9e0462f8f418d34a712b61b65b109627412d3a4c039d9b3e0690739199e6b24d,144873
full,da-16-1,2,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,8.0,10.666666666666664,1.5,-8.0,-1.5,-2.6666666666666643,9.166666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-16-1--rep-002.json,55c0f0c9acd24ddcd488424ed4ec74bc4b239f1f35843e7783186e847f707c91,135021
full,da-16-1,3,"[""top_three_task_contributors_W_minus_S""]",0.0,0.0,8.0,7.166666666666664,1.5,-8.0,-1.5,0.8333333333333357,5.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-16-1--rep-003.json,7ed4659f0dc026e9018e0b3c36d5509ffb3ed96da38ea48321d310ec0c218442,148190
full,da-18-5,1,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,3.3333333333333357,26.5,0.0,-26.5,-3.3333333333333357,-23.166666666666664,-100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-18-5--rep-001.json,63b69d32c3fb51d8afabd9c3b1f2c7482aef57d9a5a0b103d3c2cc3e631a30bf,125303
full,da-18-5,2,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,4.0,-2.999999999999993,-2.0,-4.0,2.0,6.999999999999993,-0.9999999999999929,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-18-5--rep-002.json,7aa3d2bc79c1c325ddc876a286f1b2b25135b61f6c1274160d65541e15bd8ceb,128967
full,da-18-5,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,-1.6666666666666643,21.5,0.0,-21.5,1.6666666666666643,-23.166666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-18-5--rep-003.json,f070783f541be71253338da5f0eee1c07d25d07114940a606fa26774e5aac640,131169
full,da-19-6,1,"[""narrower_gap_with_delta_A_at_most_minus_5""]",5.0,5.0,21.5,6.333333333333329,-13.0,-16.5,18.0,15.166666666666671,19.33333333333333,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/full--da-19-6--rep-001.json,a9642deb166fb5587c5573c235bc843f53c59843bc21dcada91094067c558b31,134126
user,da-10-3,1,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,11.0,10.166666666666671,3.0,-11.0,-3.0,0.8333333333333286,7.166666666666671,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-10-3--rep-001.json,ec5ad0a9c79ad33797bed5e0479204c247680c5217874cfda4fa9c4bab14f7e9,134133
user,da-10-3,2,"[""top_three_task_contributors_W_minus_A""]",10.0,10.0,-1.0,2.8333333333333357,22.5,11.0,-12.5,-3.8333333333333357,-19.666666666666664,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-10-3--rep-002.json,f07a75b626f38fed9836ff89bceff24be50089ffd842b7a2230fd99753af1719,162898
user,da-10-3,3,"[""top_three_task_contributors_W_minus_A""]",0.0,0.0,0.0,0.0,34.0,0.0,-34.0,0.0,-34.0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/report/gap-inspection/user--da-10-3--rep-003.json,c33c21c470c230fd52f23a290bdf9fd29e87c5b30990cacae87c18a3d39cf313,134298
