assignment_id,task_id,replicate,condition_id,arm,root,retained_revisions,solver_turns,stop_reason,online_updates,online_proposed,online_admitted,first_online_admission,first_reminder_turn,pre_turn1_online_admission,pre_turn1_reminder,proactive_reminders,corrective_reminders,penalized_feedback_opportunities,learning_attempts,learning_provider_failures,manifest_sha256,state_sha256
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,37,0,33dc320a568abada4744c407242e5ba3b4e34e1d1e3e9c359629c3abb07496e8,edf36cd1c19230df5a92f16fc89944402e7ba183bcf87ab6be509a4c87b4e2e3
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,34,2,d3a904b4ebbc000739b1ea534791f8d0215efa642e710f165b2d739a940ea1fe,3ac3023274075bfa3a3cab4de761b5e32ebcfef758e7856b2166733855e9db51
da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-002/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,31,0,a2b9d05bcbf1208f30c57f76ee3ff336c59cb1c36b6b8f12096b5f4dc865fcf6,a670d677e191ff0854184e1cf0b2df9ea34c504a72321c086ea667c7eb6ade7d
da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,da-14-1,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace,4,5,no_change,5,7,0,,1,False,True,1,0,0,66,0,328f2ad617014c33fcb915f8d2a1ae288a5c1663f535045c8554d2e9b2e991f5,c18743d76df9376557d152bb078bf6561e9ae2022e08d8653239016d857145e5
da-12-4--rep-002--solver-luna--full-red-team-trace,da-12-4,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-002/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,38,2,837360198d573bfbad6ce57514a35c6c7f7cf0e96249204e4a6028a748ce3bf5,5a74a4c6b569ae7095ebd3a088166a58fdd67a2e7dff55535157100cceebbb79
da-13-5--rep-001--solver-luna--user-simulator-red-team-trace,da-13-5,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-001/luna/user-simulator-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,40,2,c8dd563055e283fe8eeca40e219be7e11e9c0ca8d91cc1f9a6ec23399c6ed307,8496b62c4d72e8ae7533fe8996a35b7fabe72542777edfffa7ac13c859b6b40b
da-13-3--rep-002--solver-luna--full-red-team-trace,da-13-3,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-3/rep-002/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,32,0,844752b1afeb9d325c82ebda18560decc6ebdf0914087da0bf160756293b049a,fced4fdc8c08e68155502b42ec787b2cd943e9818ac8985d31a623d5da508d3e
da-13-1--rep-003--solver-luna--user-simulator-red-team-trace,da-13-1,3,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-003/luna/user-simulator-red-team-trace,10,10,max_revisions,10,6,0,,,False,False,0,0,0,137,1,9014fba2289ddc1578b02f0e2a4ca1c07b367243402c35fc393ed32fd917cc0c,b290b8193da74e8e74cdae480308304fb9edc0024bb8940578bcd2e990a4996c
da-15-2--rep-001--solver-luna--full-red-team-trace,da-15-2,1,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-2/rep-001/luna/full-red-team-trace,7,8,no_change,8,1,0,,1,False,True,0,2,2,68,0,7d4959682da2926c18b48d6121a0d7b203786d23c04b78ba5141b795d3b4f201,a34cb1ecb3834c1b40e706246784024b8c5183af8dbb309326231f0da5b06acb
da-18-7--rep-001--solver-luna--user-simulator-red-team-trace,da-18-7,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-001/luna/user-simulator-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,38,0,82d619b4cc0712cdf7eee586a0ae20f7b5cc94802fc608fb36150f74d4b45296,d364c793d2c1246474c7e6510d12eb6b6a32e85af4a21304c890d144714e6812
da-13-6--rep-001--solver-luna--user-simulator-red-team-trace,da-13-6,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace,10,10,max_revisions,10,9,0,,1,False,True,1,0,0,131,0,50df648634d07c8a23cd785d4a73eb24c3ffb293b1147d2ff133fd6da3378863,f57288d1e59b80195a330703cc91baa28c6f15883bdcdc31155147d21592ca00
da-15-1--rep-002--solver-luna--full-red-team-trace,da-15-1,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-1/rep-002/luna/full-red-team-trace,6,7,no_change,7,0,0,,,False,False,0,0,0,55,0,1c92fe077fa8fa51e608b63e13ba25888a6cc6a6f605355b54d2288e274c616a,aa7c42d051629db0db4b58759013a6b5e263790248db4681fd1b59776655fb31
da-15-7--rep-001--solver-luna--full-red-team-trace,da-15-7,1,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-7/rep-001/luna/full-red-team-trace,6,7,no_change,7,1,0,,,False,False,0,0,0,72,0,9aadf84187fc7ad0fa26b01d7b6d075bbd30b0a89ede2152a99489be6b73fb60,d0c4b945f92289f57bd05451be5cc6966682c72c522bbc7e40bd478cefb98bea
da-16-1--rep-002--solver-luna--full-red-team-trace,da-16-1,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-16-1/rep-002/luna/full-red-team-trace,4,5,no_change,5,0,0,,1,False,True,1,0,0,31,0,aa0271b12755639a6c274dce4fa914fb0f36a303beb52713a5c2e7df7f29ce90,8886359c11187b25578f343522c8d3dabab887230b5a0375f716d095c02e4a3b
da-14-3--rep-002--solver-luna--user-simulator-red-team-trace,da-14-3,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-3/rep-002/luna/user-simulator-red-team-trace,4,5,no_change,5,9,0,,1,False,True,1,0,0,67,0,7284e020784c38fe7041d34e8a8f202f244d6749fc7a5bd175340513d17cc92e,73b04d59602afe6a346c3eef4dd70361a6d2a6777ffb64a99feafc8efcf77fc9
da-12-4--rep-002--solver-luna--user-simulator-red-team-trace,da-12-4,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-002/luna/user-simulator-red-team-trace,10,10,max_revisions,10,3,0,,,False,False,0,0,0,120,1,07faa505d0f08f0ba8944f749513a676e7c955f2751d1fab3fe80b06a1a10340,7f937e6aceef629010e433d20667812232a5acb4619712e23792b385333a33b9
da-16-1--rep-003--solver-luna--user-simulator-red-team-trace,da-16-1,3,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-16-1/rep-003/luna/user-simulator-red-team-trace,10,10,max_revisions,10,10,0,,1,False,True,1,0,0,108,0,5e7f3fe358a058383d23fd787071fcfbd94d3ba8687ccde338989b3ebea55127,d85d98416d4869c5d3a24db7f1ce0c72cfbf33ca7bb8c91aab23176b653ac120
da-19-6--rep-002--solver-luna--user-simulator-red-team-trace,da-19-6,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-6/rep-002/luna/user-simulator-red-team-trace,10,10,max_revisions,10,18,0,,1,False,True,1,0,0,145,0,504c36a308f53a403ae41c8a9e656c8ba2a2e30ee61952af76f48dca48e09557,9c877e8c9bb1d2cba5d3bb8c1426ad09e87b0078ff447a2bf358d7b4035dd2fb
da-14-8--rep-001--solver-luna--user-simulator-red-team-trace,da-14-8,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-8/rep-001/luna/user-simulator-red-team-trace,10,10,max_revisions,10,13,0,,1,False,True,1,0,0,140,0,455a39fe4a13f74330b05bcda3b498c604590ded1bce3dbf723524b248163e73,b003e77c33b9c7305436393c96a0f71926cbb70fc10c2fe17df87e879996b477
da-12-2--rep-001--solver-luna--user-simulator-red-team-trace,da-12-2,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-2/rep-001/luna/user-simulator-red-team-trace,10,10,max_revisions,10,0,0,,,False,False,0,0,0,85,0,43f23825b17e474bf2146935dfd8fcb42505170c9fa75d90a4e70e5f2b421bac,8294d66c7494fbb2c8f5257ae9f32e38f0dd596b280fde82cd84c4131ba26465
da-19-6--rep-003--solver-luna--full-red-team-trace,da-19-6,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-6/rep-003/luna/full-red-team-trace,5,6,no_change,6,4,0,,1,False,True,1,0,0,80,0,ce5f9df047c50194af56f176a9adc5547a857365f081508012d27713659354fa,5ad8ebf7ab2be2500411276b979810156e705a3dfa1a0320e2d72f42931f2b17
da-13-6--rep-002--solver-luna--full-red-team-trace,da-13-6,2,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-6/rep-002/luna/full-red-team-trace,4,5,no_change,5,8,0,,1,False,True,1,0,0,61,0,bfdd870dfabab84963dbfd93d0c3ffb3552e4ef8b1b8a0486f013c49c08dca41,3332fdadee4893a70508c2d88aa180de4beb8f7c15e0f1b500f90c02591c2702
da-15-1--rep-002--solver-luna--user-simulator-red-team-trace,da-15-1,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,10,10,max_revisions,10,5,0,,,False,False,0,0,0,105,0,ea3f52fc5fd383fe35dd3324bb6f02ca8d9cc803c5fcd44fd0bc5faa87f40242,c8736f6eea79fb3a78df541885f029f9bc6573a1b9943eadac26b4193b48d459
da-16-1--rep-003--solver-luna--full-red-team-trace,da-16-1,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-16-1/rep-003/luna/full-red-team-trace,4,5,no_change,5,2,0,,1,False,True,1,0,0,56,0,f7ebea1fefd66a2086a33267f7e021690454d5faea7bd9acbf4ed148b216854d,a11db614403d2e5a1226c17233a91f09b63e0a34bf318530c74f70ea9235fd0f
da-18-7--rep-003--solver-luna--user-simulator-red-team-trace,da-18-7,3,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-003/luna/user-simulator-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,38,0,b97172885d2fa41950c451203af57eb5dad22bccadb754e21dc0346a01d2318f,3ae1aae980d0a75889222bcc4b59b8288b6bf44e5d4ce0f8803111cc51c1d8ed
da-15-8--rep-003--solver-luna--full-red-team-trace,da-15-8,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-8/rep-003/luna/full-red-team-trace,5,6,no_change,6,0,0,,,False,False,0,0,0,47,0,4f8dcd67b3b03c3a60792c564e7fbdee54f2df6cb89193ca968760a1a9ad456e,63a8e74e50e55db4a7130ecab9f7ff66f5e6f8635c7c0a7bb480269539356c08
da-19-6--rep-001--solver-luna--user-simulator-red-team-trace,da-19-6,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-6/rep-001/luna/user-simulator-red-team-trace,7,8,no_change,8,13,0,,1,False,True,0,1,1,110,0,bcacb2045fc7afe580d48e5c8855ed03d87ee624e98dc3c1392eafca250a74d8,0ab1bf945d26c958fdc5cd7633145a0959bf1c11ebe295e9c6dad1810c5e54ce
da-14-3--rep-001--solver-luna--user-simulator-red-team-trace,da-14-3,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-3/rep-001/luna/user-simulator-red-team-trace,4,5,no_change,5,1,0,,1,False,True,0,1,1,48,0,9cb566756bac4f9b612cdb89669b990443e9ef241fa94200dc9da3a510b5067e,224171efa8f147b91198716417d498b634b3bda21b422cbddf6ebc0b6368de88
da-10-1--rep-003--solver-luna--user-simulator-red-team-trace,da-10-1,3,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace,10,10,max_revisions,10,6,0,,,False,False,0,0,0,99,2,14dd1f2da2236ddeb306bbe7a9a8518ef65c930155fa9d51da68d3db2a1bb253,6e7bb05e6cd8fbbceb1e9465640254c8780f0f722f7d834959df16de3649e4f0
da-13-6--rep-002--solver-luna--user-simulator-red-team-trace,da-13-6,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace,10,10,max_revisions,10,6,0,,1,False,True,1,0,0,164,0,b389bb2459a2e62b6342f1ff45a833540b1db7702f689c0761e9a3fc50f32921,01ea13275412e395e11790c7185ce81df434eb2aa0265d355cf9754542a365c0
da-13-1--rep-002--solver-luna--user-simulator-red-team-trace,da-13-1,2,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-002/luna/user-simulator-red-team-trace,10,10,max_revisions,10,9,0,,,False,False,0,0,0,110,1,0e4aa27c6d5094f0adb10168a162cd1c1b1bfe83f2959b7e81c6ebe65b46ce46,9f38bdd536151419f5e2e7030537d973db776a522624c9916b054687c0b07b50
da-13-3--rep-003--solver-luna--full-red-team-trace,da-13-3,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-3/rep-003/luna/full-red-team-trace,4,5,no_change,5,3,0,,,False,False,0,0,0,48,1,afd3104488aaa74fdd92442c3b2d340aae12c707e2f9540d12f265d5c5f9f281,305ff2f75861e3de5ba0b4e1c190b8bf21e8df37527e6fbd227327e42415e08c
da-12-2--rep-003--solver-luna--full-red-team-trace,da-12-2,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-2/rep-003/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,30,0,4044234c56d7edea017258bf2fad3ad776cc46913e5865eb6044d963aeed4d61,3eb3be2156ffbbac90bd4ff0208b82196aaf710eaea4303d2582d086211e1fa4
da-13-3--rep-001--solver-luna--full-red-team-trace,da-13-3,1,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-3/rep-001/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,32,0,9f6fe750b9032e2d5fc50eb777f10849af201bebecf859826b21d77feb2bb73c,c95382d780cdbb1ddbb85f60453e27d2c5350a40b444f789a99f1563b803e8d0
da-15-2--rep-001--solver-luna--user-simulator-red-team-trace,da-15-2,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-2/rep-001/luna/user-simulator-red-team-trace,10,10,max_revisions,10,8,0,,1,False,True,0,2,2,105,0,9d3f22956fda5dc1c58015f13fec0b3266417c4bbcaf785ee532d9a764cc77c3,379eef3ba33ca1f96a17d850fda379fa66f6d7b5a5911290a79dca0f9af99408
da-13-5--rep-003--solver-luna--full-red-team-trace,da-13-5,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-003/luna/full-red-team-trace,4,5,no_change,5,0,0,,,False,False,0,0,0,29,0,392775a824d1c583ea7487860187b7e92eb3b826992715a0ad94fc7ea655d8d1,e8e630eda03dfe9c5839cf4e2a3fea4231e55cc2f7c3c3d1a909ef2326f543f8
da-15-2--rep-003--solver-luna--full-red-team-trace,da-15-2,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-2/rep-003/luna/full-red-team-trace,6,7,no_change,7,9,1,2,1,True,True,0,4,4,131,0,98336ed2a1f6d1a613409c2e13fc3066d942ce0c24c229450ddc15a125ff7395,f6ed79a104b5afa3c30674072102d398eb66dec5dc6f7755ed5f8e4ac804ef87
da-14-1--rep-003--solver-luna--full-red-team-trace,da-14-1,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-1/rep-003/luna/full-red-team-trace,4,5,no_change,5,4,0,,1,False,True,0,1,1,32,0,5b67831d3b03bac2b5b8cd339c0478edc18c35406b53e91bd8396cfbc4b24270,fd09a68d873f8812c22364fe335ff54e7ee9234561d84ec6912f26e91f4011f6
da-13-1--rep-001--solver-luna--user-simulator-red-team-trace,da-13-1,1,user-simulator-red-team-trace,user,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-001/luna/user-simulator-red-team-trace,10,10,max_revisions,10,7,0,,,False,False,0,0,0,131,1,b07cc6c440f75b7f1f7c615f177734a08beb52191caacd932673e1cac167bfd3,d84c9d4a4ee80f5f6729fb2c2e8c2f60d6095f81ea5ce10a8f9a8a2322982efd
da-14-3--rep-003--solver-luna--full-red-team-trace,da-14-3,3,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-3/rep-003/luna/full-red-team-trace,4,5,no_change,5,5,0,,1,False,True,1,0,0,41,0,2c32df8fff9178a9d839f7317840ac72875921ab79b379dea526f39e408377f5,fd760cf39a7888867328c6ad6e1dc7b3dc700ad833228d50958d532f7f44291d
da-14-3--rep-001--solver-luna--full-red-team-trace,da-14-3,1,full-red-team-trace,full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-3/rep-001/luna/full-red-team-trace,4,5,no_change,5,0,0,,1,False,True,0,1,1,34,0,2549acf7b7c181e7393b0c1855f4c12827b2c94b16bec94cfb152bc543a2eb2d,cc5bdfeb42d552a242f411e833bc7773cef0136cd5a1889ba2fe12e7f8352db7
