arm,assignment_id,task_id,replicate,criterion_id,source_generation,offline,first_scored_submission,first_available_feedback_turn,first_focused_reminder_turn,availability_to_reminder_lag,first_verbatim_requirement_turn,verbatim_requirement_exposures,reminder_deliveries,proactive_deliveries,corrective_deliveries,scored_observations,scored_violations,post_reminder_scored_observations,post_reminder_scored_violations,post_reminder_violation_response_opportunities,first_post_reminder_level,first_post_reminder_points
user,da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,elicited_fe64e5ac63cc1cb8,2,False,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""6efce0dd2881bcb0ea8913c3d62bfadc596eacd78fa4d077cb7ead9aa652a402"", ""offset"": 8208, ""representation"": ""literal""}]",1,1,0,5,0,4,0,0,A,0.0
user,da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,elicited_26536e314f2a3afc,4,False,s002,3,3,0,3,"[{""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""9f0591716f71581ce4d1c693802515b4542ebd12bdf615c5320476162f974f9d"", ""offset"": 623, ""representation"": ""literal""}]",1,1,0,3,0,2,0,0,A,0.0
user,da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,elicited_475fc8656ed3283f,5,False,s003,4,4,0,4,"[{""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""6b6f184d299823ea78f4700f932735eeeed7be5c604ab80038e8430b2ac739e1"", ""offset"": 623, ""representation"": ""literal""}]",1,1,0,2,0,1,0,0,A,0.0
full,da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,elicited_c93f783583b950c5,2,False,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""b14dfcd3666a407a3b1051246bbb670bd9ffeb6354bc9e405b95bdb5a0079a16"", ""offset"": 28820, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""92f558a2b570c3d9e0f836df2596519ad6a38cbf7d866a946757363e617a1dc5"", ""offset"": 23271, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""92f558a2b570c3d9e0f836df2596519ad6a38cbf7d866a946757363e617a1dc5"", ""offset"": 23271, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""4f82a5b4791b56e0916d0b54b559e090a07db97ea2dc408676f995f2ac4bdb3f"", ""offset"": 23477, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""a98a1040d7bd0b1d6c93223eb9a41d738abe5bfe3f111989a238e9e6ac4e7ae4"", ""offset"": 23477, ""representation"": ""literal""}]",1,1,0,5,0,4,0,0,A,0.0
full,da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,elicited_ef2b08e8b0289c87,5,False,s003,4,4,0,4,"[{""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""4f82a5b4791b56e0916d0b54b559e090a07db97ea2dc408676f995f2ac4bdb3f"", ""offset"": 24983, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""a98a1040d7bd0b1d6c93223eb9a41d738abe5bfe3f111989a238e9e6ac4e7ae4"", ""offset"": 24983, ""representation"": ""literal""}]",1,1,0,2,0,1,0,0,A,0.0
full,da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,elicited_810053fe7b28281e,2,False,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""cca9162b70aeb8eac80114ad9833875423e1966df4b42e44d31cf57eda1d335e"", ""offset"": 18607, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""6c9b5513bf370c48f0fe58cd9d1903e30b56be26a2525b3b6a41687a5822bb56"", ""offset"": 13127, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""5957e764ac8a7d5ee79d27b7fcaee21b543eea65f21c35f13123cba4044e524f"", ""offset"": 13382, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""91f2727690dc70f42aae652f53e962a3eabb6de7aaf4851bd6b9d8fcf094c120"", ""offset"": 13382, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""91f2727690dc70f42aae652f53e962a3eabb6de7aaf4851bd6b9d8fcf094c120"", ""offset"": 13382, ""representation"": ""literal""}]",1,1,0,5,0,4,0,0,A,0.0
full,da-13-5--rep-002--solver-luna--full-red-team-trace,da-13-5,2,elicited_d65562e4c71f9f68,4,False,s002,3,3,0,3,"[{""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""5957e764ac8a7d5ee79d27b7fcaee21b543eea65f21c35f13123cba4044e524f"", ""offset"": 14769, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""91f2727690dc70f42aae652f53e962a3eabb6de7aaf4851bd6b9d8fcf094c120"", ""offset"": 14769, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-5/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""91f2727690dc70f42aae652f53e962a3eabb6de7aaf4851bd6b9d8fcf094c120"", ""offset"": 14769, ""representation"": ""literal""}]",1,1,0,3,0,2,0,0,A,0.0
user,da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,da-14-1,1,elicited_17bac549dc540429,1,True,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""8c3fb0b030985c2b12f5ae729177568dbcefc3b271da68ef4e0fb91c0b161cd3"", ""offset"": 6407, ""representation"": ""literal""}]",1,1,0,7,0,6,0,0,A,0.0
user,da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,da-14-1,1,elicited_931edae77a743252,7,False,s005,6,6,0,6,"[{""turn"": 6, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-14-1/rep-001/luna/user-simulator-red-team-trace/turns/turn-006/prompt.txt"", ""sha256"": ""c96de82bf97db2db8dfe92d71e3c5e868c603b72f9bf8857616c3bdcdd2d8eda"", ""offset"": 1095, ""representation"": ""literal""}]",1,1,0,2,0,1,0,0,A,0.0
full,da-13-3--rep-002--solver-luna--full-red-team-trace,da-13-3,2,elicited_b5f24eba8f813f86,2,False,s000,1,1,0,1,"[{""turn"": 1, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-001/prompt.txt"", ""sha256"": ""0e16313c3dad8cd00630a49cb308e12865f859efbd83a316242d388e402edc25"", ""offset"": 16857, ""representation"": ""literal""}, {""turn"": 2, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-002/prompt.txt"", ""sha256"": ""bf450ce278097a8b88a062b79dd6b02852d48387cfe2a22f09c832de9714f271"", ""offset"": 11426, ""representation"": ""literal""}, {""turn"": 3, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt"", ""sha256"": ""bf450ce278097a8b88a062b79dd6b02852d48387cfe2a22f09c832de9714f271"", ""offset"": 11426, ""representation"": ""literal""}, {""turn"": 4, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt"", ""sha256"": ""2eb84d14f4a965545513a112ff88db30b16653565204091ce389789170c23e76"", ""offset"": 11639, ""representation"": ""literal""}, {""turn"": 5, ""path"": ""/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt"", ""sha256"": ""d314173146aa55bd9ad86031a27523106d3087b2d3fbbc4e6356fc1c17a7976c"", ""offset"": 11893, ""representation"": ""literal""}]",1,0,1,5,1,4,0,0,A,0.0
