policy,setting,task_id,replicate,submission,generation,solver_turn,criterion_id,ordinal,level,points,reason,title,requirement,source_generation,title_literal_in_prompt,prompt_path,prompt_sha256
candidate,full,da-10-1,1,s002,2,3,elicited_a3dea03c8f7687b0,criterion_11,B,-5,"The reported results are largely supported, but the shown AUC code's task/negative filtering is not fully aligned with the stated explicit-negative construction, creating a minor reproducibility inconsistency.",Consistency between reported results and supporting computation,"When the submission reports computed quantitative results, its tables and narrative must agree with the submitted executable code and other public supporting evidence; discrepancies must not materially alter the stated comparison or interpretation.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-003/prompt.txt,d4d8839f2c69efeae7a6a52cac99e45acb4d82be6ae50a012e30c546f252e352
candidate,full,da-10-1,1,s003,3,4,elicited_a3dea03c8f7687b0,criterion_11,A,0,"Reported totals, fold changes, IDR ordering, AUCs, and sample sizes are consistent with the documented computation and tables.",Consistency between reported results and supporting computation,"When the submission reports computed quantitative results, its tables and narrative must agree with the submitted executable code and other public supporting evidence; discrepancies must not materially alter the stated comparison or interpretation.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt,074259cef4005c186f867e27db98e437e12f7a23717f5c81e2970071d7cf2280
candidate,full,da-10-1,1,s004,4,5,elicited_a3dea03c8f7687b0,criterion_11,A,0,"Reported totals, fold changes, IDR ordering, AUCs, and sample sizes are consistent with the documented computation and tables.",Consistency between reported results and supporting computation,"When the submission reports computed quantitative results, its tables and narrative must agree with the submitted executable code and other public supporting evidence; discrepancies must not materially alter the stated comparison or interpretation.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt,074259cef4005c186f867e27db98e437e12f7a23717f5c81e2970071d7cf2280
candidate,full,da-10-1,2,s002,2,3,elicited_053f47b82119d196,criterion_11,A,0,Defines the human organism subset for task assembly and reports the discrepancy between full human-labelled totals and filtered task counts.,Consistency of the human-analysis population,"When reporting human-proteome composition, fold changes, or predictor results, use one explicitly defined human subset consistently across all such analyses, and reconcile any human-labelled rows excluded by the organism filter or other population rule.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-1,2,s003,3,4,elicited_053f47b82119d196,criterion_11,A,0,Defines the human organism subset for task assembly and reports the discrepancy between full human-labelled totals and filtered task counts.,Consistency of the human-analysis population,"When reporting human-proteome composition, fold changes, or predictor results, use one explicitly defined human subset consistently across all such analyses, and reconcile any human-labelled rows excluded by the organism filter or other population rule.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-1,2,s004,4,5,elicited_053f47b82119d196,criterion_11,A,0,Defines the human organism subset for task assembly and reports the discrepancy between full human-labelled totals and filtered task counts.,Consistency of the human-analysis population,"When reporting human-proteome composition, fold changes, or predictor results, use one explicitly defined human subset consistently across all such analyses, and reconcile any human-labelled rows excluded by the organism filter or other population rule.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-3,1,s004,4,5,elicited_465358c723d9e52c,criterion_7,A,0,"The described fixed-background labeling, missing-score handling, aggregation, and reported results are consistent with the executable code and disclosed design.",Consistency between reported method and executed computation,"When the analysis claims to use a particular labeling or background-set design, the submitted method description, code, and reported results must agree, or any material deviation must be explicitly disclosed so readers can correctly interpret the findings.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt,45374ec3509c55887f0111d62ca13ddc4b7dc1083003d9ef0b039ba369ebc822
candidate,full,da-10-3,3,s004,4,5,elicited_a88da48fea57eb3a,criterion_7,B,-5,"Most reported results are coherent, but the shown code's overlap handling and validity accounting do not fully substantiate all stated counts and claims, particularly the training-removed mitochondrial discussion.",Execution-to-report concordance,"When reporting computed results, the artifact must ensure that stated dataset validity, class counts, overlap handling, and summary values agree with the executed code and recorded outputs.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,6dec936a8bf015fce962a511476a9469cfdcb9717d82ae3febf644f39bcdd745
candidate,full,da-10-3,3,s005,5,6,elicited_a88da48fea57eb3a,criterion_7,B,-5,"Most reported results are coherent, but the shown code does not visibly produce the claimed saved results or detailed summary table, and its dataset-column handling is not fully demonstrable.",Execution-to-report concordance,"When reporting computed results, the artifact must ensure that stated dataset validity, class counts, overlap handling, and summary values agree with the executed code and recorded outputs.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/turns/turn-006/prompt.txt,196741121df527265f2ac01f877f22fb835e2b92ad5c6499988f5261fdad7f3b
candidate,full,da-10-3,3,s006,6,7,elicited_a88da48fea57eb3a,criterion_7,B,-5,"The reported 88 valid rows and skipped pairings are broadly consistent, but the shown code's dataset-column truncation and apparent merge/row-count details leave a localized execution-to-report concordance concern.",Execution-to-report concordance,"When reporting computed results, the artifact must ensure that stated dataset validity, class counts, overlap handling, and summary values agree with the executed code and recorded outputs.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/turns/turn-007/prompt.txt,e1217df2c5e585bee8fa78094f674d947fcb32e361bf9c78924d7c30090973b8
candidate,full,da-10-3,3,s007,7,8,elicited_a88da48fea57eb3a,criterion_7,B,-5,"Most reported results and implementation details agree, but the shown code does not visibly implement the claimed positive-precedence overlap exclusion or demonstrate the asserted output files/counts, creating a localized concordance concern.",Execution-to-report concordance,"When reporting computed results, the artifact must ensure that stated dataset validity, class counts, overlap handling, and summary values agree with the executed code and recorded outputs.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/turns/turn-008/prompt.txt,2e368e937bfdfea80328ac6dc2742e09e86b0eb1cd2d65a239654e458b3530ca
candidate,full,da-10-3,3,s008,8,9,elicited_a88da48fea57eb3a,criterion_7,A,0,"Reported counts, skipped pairings, overlap handling, and summaries are explicitly tied to code assertions and documented outputs.",Execution-to-report concordance,"When reporting computed results, the artifact must ensure that stated dataset validity, class counts, overlap handling, and summary values agree with the executed code and recorded outputs.",4,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace/turns/turn-009/prompt.txt,e8f7308a56bd69f1fc16e60305908fdee599e73d33be609ed3a13cae3f6e315a
candidate,full,da-12-2,1,s002,2,3,elicited_d1f6609b28018f42,criterion_8,B,-5,"The 17,210-gene universe is stated and used, but its source/construction is not shown; code hard-codes M and leaves universe empty.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-003/prompt.txt,5a8e6ab6aa49ce8bed69ee6f0efcd7575b755a264719a8c093df384ccf644e03
candidate,full,da-12-2,1,s003,3,4,elicited_d1f6609b28018f42,criterion_8,C,-10,"Claims a 17,210-gene universe, but its membership is unavailable and code hard-codes the size without constructing or loading it; pathway intersections are not actually applied to that universe.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt,68c36065a4bf0edc56de8af0f104f2af5c4cdfab3eb5f018bf79d15d7896fb1e
candidate,full,da-12-2,1,s003,3,4,elicited_1ab2ff27d1c0b0e8,criterion_9,C,-10,"The question's raw p < 0.05 criterion is silently reinterpreted as an FDR < 0.05 cutoff, making the primary conclusion use a different estimand.",Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt,68c36065a4bf0edc56de8af0f104f2af5c4cdfab3eb5f018bf79d15d7896fb1e
candidate,full,da-12-2,1,s004,4,5,elicited_d1f6609b28018f42,criterion_8,A,0,"Defines the 7,005-gene union background, constructs it in code, reports it quantitatively, and uses it consistently.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt,723cdeb0b34dff0b4c71cc00f319db205b4327fdf32f04d7ff900181209d4907
candidate,full,da-12-2,1,s004,4,5,elicited_1ab2ff27d1c0b0e8,criterion_9,A,0,Explicitly applies the requested raw p < 0.05 criterion and separately reports BH FDR and its implication.,Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt,723cdeb0b34dff0b4c71cc00f319db205b4327fdf32f04d7ff900181209d4907
candidate,full,da-12-2,1,s005,5,6,elicited_d1f6609b28018f42,criterion_8,A,0,"Defines the 7,005-gene universe, constructs it in code from TS7 sets, reports its size, and uses it consistently in pathway intersections and calculations.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-006/prompt.txt,2c7d1de988615e91df369f46dcb0abc937ddb9bf725d97521288b182eee00ea9
candidate,full,da-12-2,1,s005,5,6,elicited_1ab2ff27d1c0b0e8,criterion_9,A,0,Explicitly applies the requested raw p<0.05 criterion and separately reports BH FDR as multiplicity context.,Preservation of the requested significance estimand,"When reporting significance for the requested analysis, the submission must apply the question's stated p-value criterion to the requested test rather than silently replacing it with a different multiple-testing estimand or cutoff.",3,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-006/prompt.txt,2c7d1de988615e91df369f46dcb0abc937ddb9bf725d97521288b182eee00ea9
candidate,full,da-12-2,1,s006,6,7,elicited_d1f6609b28018f42,criterion_8,B,-5,"The 17,210-gene universe is asserted and hard-coded without membership provenance, while the reproducible 7,005-gene universe is constructed and reported.",Auditable ORA background construction,"When the analysis claims a specific ORA universe, it must make that universe traceable to the supplied data or an explicitly identified source, with executable code showing its construction and consistent use in pathway-size and p-value calculations.",2,True,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace/turns/turn-007/prompt.txt,602fbe379592eeab1bb457959e195e88564acf2cc095ca6567205a4612073cbe
