policy,setting,task_id,replicate,generation,submission,solver_turn,active_criteria,violated_criteria,penalty,prompt_path,prompt_sha256
candidate,full,da-10-1,1,0,s000,1,0,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-001/prompt.txt,6ed00b23adde607eedc081403505c8f9573b0587cd064650cdd498b9aa7ea2b9
candidate,full,da-10-1,1,1,s001,2,0,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-002/prompt.txt,e37b3ab8902b1f68379ea96f4fe16d391b97f0e5595d0bbbf8a70b5c5f0e71aa
candidate,full,da-10-1,1,2,s002,3,1,1,-5.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-003/prompt.txt,d4d8839f2c69efeae7a6a52cac99e45acb4d82be6ae50a012e30c546f252e352
candidate,full,da-10-1,1,3,s003,4,1,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-004/prompt.txt,074259cef4005c186f867e27db98e437e12f7a23717f5c81e2970071d7cf2280
candidate,full,da-10-1,1,4,s004,5,1,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace/turns/turn-005/prompt.txt,074259cef4005c186f867e27db98e437e12f7a23717f5c81e2970071d7cf2280
candidate,full,da-10-1,2,0,s000,1,0,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-001/prompt.txt,1713361ffbd5fb09e01e7e347c21b7ca8c1ee3766d7596acaa536d4273660c9e
candidate,full,da-10-1,2,1,s001,2,0,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-002/prompt.txt,2845c3dccea53caee67681e85385c0b9dee1a431e6c48348e523a69c8c636f50
candidate,full,da-10-1,2,2,s002,3,1,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-003/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-1,2,3,s003,4,1,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-004/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-1,2,4,s004,5,1,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace/turns/turn-005/prompt.txt,4c1ef5178c58a925960c6973937700b4567aa3412822fe79347ea4a2b86d99b1
candidate,full,da-10-1,3,0,s000,1,0,0,0.0,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-001/prompt.txt,db684d6e45902be0c685b80b630604833a2a0f40f0a6790de6ec2640ddb4e2c2
