task_id,set,within_set_order,results45_member,results30_member,replicates,known_completed_reference_conditions,exposure,data_instruction_present,canonical_v2_status,missing_inputs
da-10-1,result20,1,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-10-3,result20,2,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-12-2,result20,3,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-12-4,result20,4,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-13-1,result20,5,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-13-3,result20,6,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-13-5,result20,7,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-13-6,result20,8,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation; stress fixture,True,validated reference pool,native reuse check for each new consumer
da-14-1,result20,9,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-14-3,result20,10,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-14-8,result20,11,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-15-1,result20,12,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation; stress fixture,True,validated reference pool,native reuse check for each new consumer
da-15-2,result20,13,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-15-7,result20,14,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-15-8,result20,15,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-16-1,result20,16,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-18-5,result20,17,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation; stress fixture,True,validated reference pool,native reuse check for each new consumer
da-18-7,result20,18,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-19-1,result20,19,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-19-6,result20,20,True,not_fixed,3,Full/User static and v2.1 trace,repeated development and evaluation,True,validated reference pool,native reuse check for each new consumer
da-8-1,additional25,1,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
da-26-4,additional25,2,True,not_fixed,3,none located,"data/old paraphrases prepared; no execution located, prior inspection not ruled out",True,not_established,V2-compatible heldouts; compatible seeds/g1/static/scoring not located
