judgment_key,task_id,replicate,condition_id,model,provider,response_id,usage_available,input_tokens,output_tokens,cached_input_tokens,cache_write_input_tokens,usage_based_usd,worker_elapsed_seconds,reused_before_dispatch,usage_path
9755f5c59b0d2ef92f1579c2d8a853de,da-26-4,1,full-static,gemini-3.8-flash,google,5-Gwao6GGMbD_PUP2cmS4Aw,False,,,,,,9.743910563003737,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/9755f5c59b0d2ef92f1579c2d8a853de/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/61e46cb0c70ff933ec8979c898fde712/usage.json
e89319b1d6a2d2c26a1ce41525ab3c92,da-26-4,1,full-static,gpt-5.6-sol,openai,resp_05e4b4af209e06f2016ab0e1e80bd487d18374636ea2798b5c,True,6607,353,0,6604,0.05188,8.606498492998071,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/e89319b1d6a2d2c26a1ce41525ab3c92/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/d804bdf5604a614b68868e2ac2bddb67/usage.json
a7c16017e3271530034cd17b15682858,da-26-4,1,user-simulator-static,gemini-3.8-flash,google,5-GwatnaFeLD_PUPrPXR0As,False,,,,,,5.18397468701005,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/a7c16017e3271530034cd17b15682858/evaluations/s010/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/e62d32d189cab5893d867decbb544c81/usage.json
1011148f9e84f5d54699900de8fcf5d5,da-26-4,1,user-simulator-static,gpt-5.6-sol,openai,resp_02d650c052c62350016ab0e1e80a9887d1bb93f7b60e5f3067,True,7582,354,0,7579,0.05800375,9.13294435001444,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/1011148f9e84f5d54699900de8fcf5d5/evaluations/s010/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/c9c4ca7b79fbfc106f68d2216f819f35/usage.json
3a1592a0b0d19f3bdf50b7aae57e2ab8,da-26-4,2,full-static,gemini-3.8-flash,google,5-GwauiyGsTT_uMPtoLDqAw,False,,,,,,4.679191659990465,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/3a1592a0b0d19f3bdf50b7aae57e2ab8/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/31ce7bac8d0016582538894686709008/usage.json
748f1895bddb5d534034efa30b8b3d14,da-26-4,2,full-static,gpt-5.6-sol,openai,resp_0800cea5fe844682016ab0e1e8061487d1a6f5a28a0c1a9968,True,6820,374,0,6817,0.05384125,10.106443975004368,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/748f1895bddb5d534034efa30b8b3d14/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/0081cf19a7ff7fdc840f27891a5258ed/usage.json
b392214c92a24464d62249981c2a3839,da-26-4,2,user-simulator-static,gemini-3.8-flash,google,5-GwapS1Gs2o_uMPvurWyQo,False,,,,,,4.8010922909888905,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/b392214c92a24464d62249981c2a3839/evaluations/s010/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/2fa75f100ef1ff705c81c7197b8d085c/usage.json
c40c6c3a5fb4307be5ceda1c97c014ed,da-26-4,2,user-simulator-static,gpt-5.6-sol,openai,resp_035fe7e6f38aa606016ab0e1e7ff3487d1852891dfac0de957,True,7536,315,0,7533,0.05654625,8.5683185569942,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/c40c6c3a5fb4307be5ceda1c97c014ed/evaluations/s010/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/0317fe98b64d2bc8d86c760ac93f8f10/usage.json
b79d007ae4050fbeef8a311a50a5384f,da-26-4,3,full-static,gemini-3.8-flash,google,5-GwauDHFsTXjMcPkIqoyAY,False,,,,,,4.225452936021611,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/b79d007ae4050fbeef8a311a50a5384f/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/badc2579899771b4ac66c76161f0dccb/usage.json
ff896311449a4d4d8b908e83ab9668e4,da-26-4,3,full-static,gpt-5.6-sol,openai,resp_0f0125952e198ab0016ab0e1e8097887d1aa80d76df5ebee8e,True,5297,333,0,5294,0.0430925,8.12174855498597,False,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-development-score-pilot-20260921/scores/da-26-4/static/artifacts/ff896311449a4d4d8b908e83ab9668e4/evaluations/s004/5f992aa98a15df09dce510a2a391bc010309274c4ab6085e227c2399c3a4d804/3ece8bbc74593e85b9344d2165920df1/usage.json
