assignment_id,task_id,replicate,condition_id,arm,submission_id,source_checkpoint,active_generation,solver_turn,exposed,category,corrective,criterion_id,criterion_source_generation,points,previously_reminded,skipped,reminder_component_bytes,reminder_component_chars,solver_prompt_bytes,elicited_penalty,W,W_train,prompt_path,prompt_sha256,binding_sha256,receipt_path
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s000,0,2,1,False,,,,,,,[],0,0,8166,0.0,55.0,55.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt,cdc2ece32a68b9f638663e4b426aca0d4f3b4c50ee76fa2c85a4c5a44c4e67df,2970dde05d0a74e8a687d7d1b6f3a6cb25be3b8a3643dd34c03919eae8e80ebc,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s001,1,3,2,False,,,,,,,[],0,0,829,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-002/prompt.txt,d950ce2bdb78dd7a799f0b11b02d67315bd02acb25b1d0561c4539b87d7a96a1,2bf28e65d39ac960c90592fc5823ddda96e8155bde98fe617948ee71ee92b293,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s002,2,4,3,False,,,,,,,[],0,0,525,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt,1123fb1849ab406a9da3efb64a746896f12f2b9d0d2f7b338a70ba4f598ffd0d,374177f3595c5cb46bc0a64117fc41b059cff2ab3a395dbe0e53ead694fdced3,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s003,3,5,4,False,,,,,,,[],0,0,525,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt,1123fb1849ab406a9da3efb64a746896f12f2b9d0d2f7b338a70ba4f598ffd0d,1a060c71f4e473646eeb9c503d1a609c1b7601f0215c2ab0e605dc25e505edf1,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s004,4,6,5,False,,,,,,,[],0,0,525,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-005/prompt.txt,1123fb1849ab406a9da3efb64a746896f12f2b9d0d2f7b338a70ba4f598ffd0d,3331e0ede32db336ba4f074ee859c9db82b89ce9d2980ad9b8eb7fbde65dc4e3,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s000,0,2,1,False,,,,,,,[],0,0,28984,0.0,31.0,31.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-001/prompt.txt,bb03b8229c2734393e1519b8dc43d55af17cc10db879a733f09639820f7cd4cd,5e689792021068abde9eecb96c69bcbb5d5f9c26d3c5ec04a35f477905ba6246,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s000.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s001,1,3,2,False,,,,,,,[],0,0,23303,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-002/prompt.txt,6c409706b45087c5011bfecc6a8338ce8971ad3e1b48e37cced39c82494734cb,e5717e46a9f937f4b414bd02543a004cb03c2d659387b1e9d1c801373fb04b58,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s001.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s002,2,4,3,False,,,,,,,[],0,0,23303,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt,6c409706b45087c5011bfecc6a8338ce8971ad3e1b48e37cced39c82494734cb,e3f72f5989d021992fea3c5e18a0a598ccb79af639fce89908457efedb2298b6,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s002.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s003,3,5,4,False,,,,,,,[],0,0,23303,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt,6c409706b45087c5011bfecc6a8338ce8971ad3e1b48e37cced39c82494734cb,4c5062c254041d09111e899c580b84a168f9089df3413d5a6bb96658abf39b1a,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s003.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s004,4,6,5,False,,,,,,,[],0,0,23303,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,6c409706b45087c5011bfecc6a8338ce8971ad3e1b48e37cced39c82494734cb,8340d6f97c545db3f1ca6eba9eccc3392ca7951bb3144053a9cc97142803cfa7,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s004.json
