assignment_id,task_id,replicate,condition_id,arm,submission_id,source_checkpoint,active_generation,solver_turn,exposed,category,corrective,criterion_id,criterion_source_generation,points,previously_reminded,skipped,reminder_component_bytes,reminder_component_chars,solver_prompt_bytes,elicited_penalty,W,W_train,prompt_path,prompt_sha256,binding_sha256,receipt_path
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s000,0,2,1,True,3,False,elicited_fe64e5ac63cc1cb8,2,0.0,False,[],568,568,8685,0.0,55.0,55.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-001/prompt.txt,6efce0dd2881bcb0ea8913c3d62bfadc596eacd78fa4d077cb7ead9aa652a402,274daca1dfbf6d52043677a638f05f957b6073dd72f3b84b451e8abebea42409,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s001,1,3,2,False,,,,,,,[],0,0,525,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-002/prompt.txt,1123fb1849ab406a9da3efb64a746896f12f2b9d0d2f7b338a70ba4f598ffd0d,de7b1819de5993bdb503ef4d84d10d0067268a035ec4bbc3be4779cbe668f92d,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s002,2,4,3,True,3,False,elicited_26536e314f2a3afc,4,0.0,False,[],627,625,1154,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-003/prompt.txt,9f0591716f71581ce4d1c693802515b4542ebd12bdf615c5320476162f974f9d,f044f1291b7527079d89083cbc4fba896f171cde7d7d149431a41a2143bf1602,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s003,3,5,4,True,3,False,elicited_475fc8656ed3283f,5,0.0,False,[],641,641,1168,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-004/prompt.txt,6b6f184d299823ea78f4700f932735eeeed7be5c604ab80038e8430b2ac739e1,3e17a0b037bedcb11328e9bf40043ea9b57873a673bc90fb2dabfb5c3ca1597f,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,s004,4,6,5,False,,,,,,,[],0,0,525,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/turns/turn-005/prompt.txt,1123fb1849ab406a9da3efb64a746896f12f2b9d0d2f7b338a70ba4f598ffd0d,9437edcfaa912add0e8b0582f943835e4022946c5a017d0c8acb877841223a04,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s000,0,2,1,True,3,False,elicited_c93f783583b950c5,2,0.0,False,[],613,611,31001,0.0,31.0,31.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-001/prompt.txt,b14dfcd3666a407a3b1051246bbb670bd9ffeb6354bc9e405b95bdb5a0079a16,aa3e52885a42cd94a44038c282e10458dccb5792a57c5c9f84c3ad4451fe2b46,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s000.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s001,1,3,2,False,,,,,,,[],0,0,24836,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-002/prompt.txt,92f558a2b570c3d9e0f836df2596519ad6a38cbf7d866a946757363e617a1dc5,03474021f7b6504925e4445f4db20be849b1f04628da50c9621f14385381c3f8,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s001.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s002,2,4,3,False,,,,,,,[],0,0,24836,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-003/prompt.txt,92f558a2b570c3d9e0f836df2596519ad6a38cbf7d866a946757363e617a1dc5,533219653318d606efd90a84badd48aa497dbfc8b3213085d5d15cc5aa3d0941,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s002.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s003,3,5,4,True,3,False,elicited_ef2b08e8b0289c87,5,0.0,False,[],628,628,27174,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-004/prompt.txt,4f82a5b4791b56e0916d0b54b559e090a07db97ea2dc408676f995f2ac4bdb3f,7d1190a58784947e5e5e710abcc043085db224b42c750e00a42a3604fa9a9df7,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s003.json
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,s004,4,6,5,False,,,,,,,[],0,0,26544,0.0,100.0,100.0,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/turns/turn-005/prompt.txt,a98a1040d7bd0b1d6c93223eb9a41d738abe5bfe3f111989a238e9e6ac4e7ae4,4d58c6fdd89277ae8870fd21cd59b2207a3778636777e7f42c067360879e329a,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-reminders/s004.json
