cell,case,historical_variant,task,replicate,submission_id,result_path,public_artifact_root,input_path,contract_valid,attempt_count,decision,concern_count,supplied_privately,semantic_classification,manual_review
C10,private_target_counts,v3.2,da-13-6,2,s000,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/private_target_counts/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/private_target_counts.json,True,1,revise,3,False,verified_private_target_guidance,"All cells transmit CXCL13/NOS3 as discordant examples; those names occur only in supplied private feedback, not task/artifact/history. C10 also supplies the private majority-concordance conclusion."
C10,different_populations,v3.2,da-13-6,3,s002,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/different_populations/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/different_populations.json,True,1,revise,1,False,unsupported_scope_contradiction,"All cells treat 109 jointly significant and 212 GAHT-significant-with-available-estimate counts as inconsistent, although the masks explicitly differ. C01/C11 verification labels do not remove the assertion in their text; some requested labeling/checks may still be useful."
C10,coefficient_coding_sign,v3.1,da-15-1,2,s001,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/coefficient_coding_sign/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter2/v31-candidate/da-15-1/study/biomnibench-da-factorial-r10-7c8044b7d736/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/coefficient_coding_sign.json,True,1,revise,3,True,verified_incorrect_sign_allegation,"All cells assert that negating disease_Control reverses ALS-minus-Control. With the displayed binary dummy, its coefficient is Control-minus-ALS, so negation is required. Other defects in this model do not make that sign transformation wrong."
C10,unavailable_remedy,v3.1,da-15-1,3,s003,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/unavailable_remedy/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter2/v31-candidate/da-15-1/study/biomnibench-da-factorial-r10-7c8044b7d736/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/unavailable_remedy.json,True,1,revise,3,False,mixed_environment_conflict,C10 again requests the reported unavailable preferred framework and incomplete delivery if impossible (the public task and artifact disagree about installation). C01/C11 usefully request the actual sensitivity code. C11 additionally says the shown code does not print a dispersion summary although line 64 does; captured numeric output is still missing.
C10,repeated_count_concern,v3.2,da-13-6,3,s003,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/repeated_count_concern/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/repeated_count_concern.json,True,1,revise,1,False,bounded_clarification,"C10 acknowledges that the primary numbers reconcile and asks for clearer labels. C01 calls the table inconsistent then acknowledges 167+45=212. C11 invents an availability count of 167; the saved artifact explicitly says 212 available, 167 same, 45 opposite."
C10,corrective_learned_check,v3.2,da-13-6,3,s001,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/corrective_learned_check/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/corrective_learned_check.json,True,1,revise,2,True,supported_scoped_defense,"C10/C11 explicitly move the outcome-dependent composite out of the primary headline, matching the selected scoped defense and current artifact. C01 requests a different selected-endpoint denominator instead; its D=0 separate reminder would still contain the learned rule, so this is not proof of total lost delivery."
C10,proactive_label_substantive_check,v3.2,da-13-6,1,s004,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/proactive_label_substantive_check/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-13-6/study/biomnibench-da-factorial-r10-cdbaf706aa37/experiments/da-13-6/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/proactive_label_substantive_check.json,True,1,revise,2,True,mixed_scope_error_and_coding_check,All cells allege a contradiction between exclusive selected-age partitions and nonexclusive age-specific joint-significance sets. Those sets need not match. C10/C11 also retain a substantive coding-interpretation check; the historical tag-only guard must not erase it.
C10,proactive_only_request,v3,da-18-5,1,s001,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/proactive_only_request/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-18-5/study/biomnibench-da-factorial-r10-e26d8b302f18/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/proactive_only_request.json,True,1,revise,1,True,unresolved_population_scope,C10 questions 75 subtype-filtered primaries versus 54+57 annotated primaries; the latter scope is insufficiently explicit to declare a contradiction. C01 mistakes canonical file headings for one file and demands an exact Markdown heading depth the task does not prescribe. C11 asks for alternatives/rationales already partly present; material incompleteness is unresolved. This is not a proven error-free accept oracle.
C10,unmet_base_requirement,v3.2,da-15-1,1,s000,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/unmet_base_requirement/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-15-1/study/biomnibench-da-factorial-r10-fc0423598fc1/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/unmet_base_requirement.json,True,1,revise,3,False,useful_task_concerns_with_unresolved_remedy_details,"All cells retain substantive variance-model and/or covariate/reporting concerns. G variants keep actionable work; C11 adds biological-source support. These are useful responses, but this review does not establish that every suggested covariate or remedy is scientifically appropriate."
C10,cohort_scope_ambiguity,v3.2,da-18-5,1,s000,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/C10/cohort_scope_ambiguity/result.json,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter3/v32-candidate/da-18-5/study/biomnibench-da-factorial-r10-845d6d423d4d/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-user-parallel-diagnostics-20260912/feedback-checks/inputs/cohort_scope_ambiguity.json,True,1,revise,3,True,scoped_defense_with_private_operational_context,C10/C11 communicate the selected distinction between explicit treatment annotation and a non-naive/site proxy. C01 emphasizes event definitions/stratification. Some precise gene/event requirements are privately specified rather than explicitly listed in the public question; their scientific adequacy is not established just by a valid source reference.
