policy,setting,task_id,replicate,root,proposed,admitted,first_proposal,first_admission,rejections,penalized_checkpoints,penalty_total,solver_turns
candidate,full,da-10-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-001/luna/full-red-team-trace,2,1,2,2,"{""semantic_validation_failed"": 1}",1,-5.0,5
candidate,full,da-10-1,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-002/luna/full-red-team-trace,1,1,2,2,{},0,0.0,5
candidate,full,da-10-1,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-1/rep-003/luna/full-red-team-trace,9,0,3,,"{""criterion_support_failed"": 9}",0,0.0,9
candidate,full,da-10-3,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-001/luna/full-red-team-trace,3,1,2,4,"{""criterion_support_failed"": 2}",0,0.0,5
candidate,full,da-10-3,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-002/luna/full-red-team-trace,2,0,3,,"{""criterion_support_failed"": 2}",0,0.0,5
candidate,full,da-10-3,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-10-3/rep-003/luna/full-red-team-trace,4,1,3,4,"{""aggregate_margin_failed"": 1, ""criterion_support_failed"": 2}",4,-20.0,9
candidate,full,da-12-2,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-001/luna/full-red-team-trace,2,2,2,2,{},5,-40.0,9
candidate,full,da-12-2,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-002/luna/full-red-team-trace,2,1,2,2,"{""aggregate_margin_failed"": 1}",0,0.0,5
candidate,full,da-12-2,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-2/rep-003/luna/full-red-team-trace,2,2,2,2,{},1,-10.0,5
candidate,full,da-12-4,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-001/luna/full-red-team-trace,4,0,2,,"{""criterion_support_failed"": 4}",0,0.0,5
candidate,full,da-12-4,2,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-002/luna/full-red-team-trace,2,1,2,2,"{""criterion_support_failed"": 1}",0,0.0,5
candidate,full,da-12-4,3,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-12-4/rep-003/luna/full-red-team-trace,3,1,2,2,"{""criterion_support_failed"": 2}",1,-5.0,5
candidate,full,da-13-1,1,/data/user_data/aydanh/rubric_gen/runs/trace-repair-result20-20260909/candidate/study/biomnibench-da-factorial-r10-e2a0eda2a680/experiments/da-13-1/rep-001/luna/full-red-team-trace,5,0,2,,"{""aggregate_margin_failed"": 2, ""criterion_support_failed"": 3}",0,0.0,5
