variant,task,replicate,submission_id,root,receipt,generation,saved_choice,correct_choice,saved_skips,correct_skips,choice_changed,eligibility_changed
v3,da-15-1,1,s000,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,2,,,[],[],False,False
v3,da-15-1,1,s001,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json,3,,,[],[],False,False
v3,da-15-1,1,s002,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,4,,,[],[],False,False
v3,da-15-1,1,s003,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json,5,,,[],[],False,False
v3,da-15-1,1,s004,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,6,,,[],[],False,False
v3,da-15-1,1,s005,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s005.json,7,,,[],[],False,False
v3,da-15-1,1,s006,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s006.json,8,"{""criterion_id"": ""elicited_0a3c10ce56734ef4"", ""source_generation"": 8, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When interpreting observational bulk RNA-seq differential-expression results, describe genes as associated, plausible, or hypothesis-generating unless independent causal or translational evidence is supplied; do not present differential expression alone as establishing molecular drivers, mechanisms, or therapeutic targets. Check that claims, methods, study scope, and stated limitations are consistent, while retaining supported analyses and results.""}","{""criterion_id"": ""elicited_0a3c10ce56734ef4"", ""source_generation"": 8, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When interpreting observational bulk RNA-seq differential-expression results, describe genes as associated, plausible, or hypothesis-generating unless independent causal or translational evidence is supplied; do not present differential expression alone as establishing molecular drivers, mechanisms, or therapeutic targets. Check that claims, methods, study scope, and stated limitations are consistent, while retaining supported analyses and results.""}",[],[],False,False
v3,da-15-1,1,s007,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s007.json,9,"{""criterion_id"": ""elicited_a781ff06d6878e3b"", ""source_generation"": 9, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When a binary disease indicator is used, verify that its reference coding matches the stated disease-minus-control coefficient and that every reported positive/negative or up/down-regulation label follows that same sign convention. Report this validation, or correct the coding, contrast labels, and signed rankings before presenting results; retain unrelated valid analyses.""}","{""criterion_id"": ""elicited_a781ff06d6878e3b"", ""source_generation"": 9, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When a binary disease indicator is used, verify that its reference coding matches the stated disease-minus-control coefficient and that every reported positive/negative or up/down-regulation label follows that same sign convention. Report this validation, or correct the coding, contrast labels, and signed rankings before presenting results; retain unrelated valid analyses.""}",[],[],False,False
v3,da-15-1,1,s008,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s008.json,10,,,[],[],False,False
v3,da-15-1,1,s009,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-reminders/s009.json,11,,,[],[],False,False
v3,da-15-1,2,s000,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,2,"{""criterion_id"": ""elicited_c8d4fa8f38281d31"", ""source_generation"": 2, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When a categorical disease coefficient is transformed into a named disease-versus-control effect, verify from the executable design coding and any sign transformation that the reported effect, t-statistic direction, and up/down gene labels use the same contrast convention. Repair any mismatch while retaining valid unrelated analyses.""}","{""criterion_id"": ""elicited_c8d4fa8f38281d31"", ""source_generation"": 2, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When a categorical disease coefficient is transformed into a named disease-versus-control effect, verify from the executable design coding and any sign transformation that the reported effect, t-statistic direction, and up/down gene labels use the same contrast convention. Repair any mismatch while retaining valid unrelated analyses.""}",[],[],False,False
v3,da-15-1,2,s001,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json,3,,,[],[],False,False
v3,da-15-1,2,s002,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,4,,,[],[],False,False
v3,da-15-1,2,s003,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json,5,"{""criterion_id"": ""elicited_164593ccb3d26ab2"", ""source_generation"": 5, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When interpreting observational bulk RNA-seq differential-expression results, check that expression associations are not presented as established causal mechanisms, disease drivers, or therapeutic targets without appropriate independent evidence; require explicit consideration of cell-composition and observational-design limits, while preserving supported marker or association findings.""}","{""criterion_id"": ""elicited_164593ccb3d26ab2"", ""source_generation"": 5, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When interpreting observational bulk RNA-seq differential-expression results, check that expression associations are not presented as established causal mechanisms, disease drivers, or therapeutic targets without appropriate independent evidence; require explicit consideration of cell-composition and observational-design limits, while preserving supported marker or association findings.""}",[],[],False,False
v3,da-15-1,2,s004,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,6,,,[],[],False,False
v3,da-15-1,2,s005,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s005.json,7,,,[],[],False,False
v3,da-15-1,2,s006,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s006.json,8,,,[],[],False,False
v3,da-15-1,2,s007,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s007.json,9,,,[],[],False,False
v3,da-15-1,2,s008,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s008.json,10,,,[],[],False,False
v3,da-15-1,2,s009,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-reminders/s009.json,11,,,[],[],False,False
v3,da-15-1,3,s000,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s000.json,2,,,[],[],False,False
v3,da-15-1,3,s001,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s001.json,3,"{""criterion_id"": ""elicited_58c97c39cefc0099"", ""source_generation"": 3, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When an artifact reports an orthogonal result or validation beyond its analyzed dataset, compare that claim with the stated data sources, analysis steps, and limitations. Remove or accurately qualify the result as a recommendation unless the relevant dataset, computation, and traceable source are actually provided; retain unrelated supported RNA-seq findings.""}","{""criterion_id"": ""elicited_58c97c39cefc0099"", ""source_generation"": 3, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When an artifact reports an orthogonal result or validation beyond its analyzed dataset, compare that claim with the stated data sources, analysis steps, and limitations. Remove or accurately qualify the result as a recommendation unless the relevant dataset, computation, and traceable source are actually provided; retain unrelated supported RNA-seq findings.""}",[],[],False,False
v3,da-15-1,3,s002,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s002.json,4,,,[],[],False,False
v3,da-15-1,3,s003,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s003.json,5,,,[],[],False,False
v3,da-15-1,3,s004,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s004.json,6,,,[],[],False,False
v3,da-15-1,3,s005,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s005.json,7,,,[],[],False,False
v3,da-15-1,3,s006,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s006.json,8,,,[],[],False,False
v3,da-15-1,3,s007,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v3-20260911/stress-iter1/v3-candidate/da-15-1/study/biomnibench-da-factorial-r10-6acf315677b9/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-reminders/s007.json,9,"{""criterion_id"": ""elicited_8a9728bb31de1428"", ""source_generation"": 9, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When QC or RNA-composition variables may be redundant, technical nuisances, proxies, or consequences of disease-related composition, classify their causal role before modeling. Keep defensible prespecified confounders in the primary disease model, exclude or separate questionable variables as sensitivity analyses, audit estimability/conditioning, and report how conclusions change without presenting an overadjusted result as the sole disease finding.""}","{""criterion_id"": ""elicited_8a9728bb31de1428"", ""source_generation"": 9, ""category"": 3, ""points"": 0.0, ""previously_reminded"": false, ""corrective"": false, ""requirement"": ""When QC or RNA-composition variables may be redundant, technical nuisances, proxies, or consequences of disease-related composition, classify their causal role before modeling. Keep defensible prespecified confounders in the primary disease model, exclude or separate questionable variables as sensitivity analyses, audit estimability/conditioning, and report how conclusions change without presenting an overadjusted result as the sole disease finding.""}",[],[],False,False
