setting,task_id,replicate,s000_public_files_equal,s001_public_files_equal
full,da-10-1,1,True,False
full,da-10-1,2,True,False
full,da-10-1,3,True,False
full,da-10-3,1,True,False
full,da-10-3,2,True,False
full,da-10-3,3,True,False
full,da-12-2,1,True,False
full,da-12-2,2,True,False
full,da-12-2,3,True,False
full,da-12-4,1,True,False
full,da-12-4,2,True,False
full,da-12-4,3,True,False
full,da-13-1,1,True,False
full,da-13-1,2,True,False
full,da-13-1,3,True,False
full,da-13-3,1,True,False
full,da-13-3,2,True,False
full,da-13-3,3,True,False
full,da-13-5,1,True,False
full,da-13-5,2,True,False
full,da-13-5,3,True,False
full,da-13-6,1,True,False
full,da-13-6,2,True,False
full,da-13-6,3,True,False
full,da-14-1,1,True,False
full,da-14-1,2,True,True
full,da-14-1,3,True,False
full,da-14-3,1,True,False
full,da-14-3,2,True,False
full,da-14-3,3,True,False
full,da-14-8,1,True,False
full,da-14-8,2,True,False
full,da-14-8,3,True,False
full,da-15-1,1,True,False
full,da-15-1,2,True,False
full,da-15-1,3,True,False
full,da-15-2,1,True,False
full,da-15-2,2,True,False
full,da-15-2,3,True,False
full,da-15-7,1,True,False
full,da-15-7,2,True,False
full,da-15-7,3,True,False
full,da-15-8,1,True,False
full,da-15-8,2,True,False
full,da-15-8,3,True,False
full,da-16-1,2,True,False
full,da-16-1,3,True,False
full,da-18-5,1,True,False
full,da-18-5,2,True,False
full,da-18-5,3,True,False
full,da-18-7,1,True,False
full,da-18-7,2,True,False
full,da-18-7,3,True,False
full,da-19-1,1,True,False
full,da-19-1,2,True,False
full,da-19-1,3,True,False
full,da-19-6,1,True,False
full,da-19-6,2,True,False
full,da-19-6,3,True,False
user,da-10-1,1,True,False
user,da-10-1,2,True,False
user,da-10-1,3,True,False
user,da-10-3,1,True,False
user,da-10-3,2,True,False
user,da-10-3,3,True,False
user,da-12-2,1,True,False
user,da-12-2,2,True,False
user,da-12-2,3,True,False
user,da-12-4,1,True,False
user,da-12-4,2,True,False
user,da-12-4,3,True,False
user,da-13-1,1,True,False
user,da-13-1,2,True,False
user,da-13-1,3,True,False
user,da-13-3,1,True,False
user,da-13-3,2,True,False
user,da-13-3,3,True,False
user,da-13-5,1,True,False
user,da-13-5,2,True,False
user,da-13-5,3,True,False
user,da-13-6,1,True,False
user,da-13-6,2,True,False
user,da-13-6,3,True,False
user,da-14-1,1,True,False
user,da-14-1,2,True,False
user,da-14-1,3,True,False
user,da-14-3,1,True,False
user,da-14-3,2,True,False
user,da-14-3,3,True,False
user,da-14-8,1,True,False
user,da-14-8,2,True,False
user,da-14-8,3,True,False
user,da-15-1,1,True,False
user,da-15-1,2,True,False
user,da-15-1,3,True,False
user,da-15-2,1,True,False
user,da-15-2,2,True,False
user,da-15-2,3,True,False
user,da-15-7,1,True,False
user,da-15-7,2,True,False
user,da-15-7,3,True,False
user,da-15-8,1,True,False
user,da-15-8,2,True,False
user,da-15-8,3,True,False
user,da-16-1,1,True,False
user,da-16-1,2,True,False
user,da-16-1,3,True,False
user,da-18-5,1,True,False
user,da-18-5,2,True,False
user,da-18-5,3,True,False
user,da-18-7,1,True,False
user,da-18-7,2,True,False
user,da-18-7,3,True,False
user,da-19-1,1,True,False
user,da-19-1,2,True,False
user,da-19-1,3,True,False
user,da-19-6,1,True,False
user,da-19-6,2,True,False
user,da-19-6,3,True,False
